    rd  pick            player                            team (league)  reg gp  pl gp
0    1     4       bryan allen                  oshawa generals ( ohl )     216      7
1    2    31    artem chubarov                   hc cska moscow ( rus )     228     27
2    3    68      jarkko ruutu                             hifk ( fin )     267     24
3    3    81   justin morrison                colorado college ( ncaa )       0      0
4    4    90       regan darby             tri - city americans ( whl )       0      0
5    5   136     david jonsson                      leksands if ( swe )       0      0
6    5   140      rick bertran                kitchener rangers ( ohl )       0      0
7    6   149       paul cabana        fort mcmurray oil barons ( ajhl )       0      0
8    7   177       vince malts                hull olympiques ( qmjhl )       0      0
9    8   204    graig mischler         northeastern university ( ncaa )       0      0
10   8   219  curtis valentine  bowling green state university ( ncaa )       0      0
11   9   232    jason metcalfe                   london knights ( ohl )       0      0
