              episode                    theme                song choice       original artist  order    result
0            audition     auditioner 's choice                sería fácil            luis fonsi  n / a  advanced
1   selection process     auditioner 's choice                  not aired             not aired  n / a  advanced
2          workshop 1     contestant 's choice              tu reputación        ricardo arjona      8  advanced
3              top 12     contestant 's choice  usted se me llevo la vida       alexandre pires     10      safe
4              top 10          emmanuel homage      quiero dormir cansado              emmanuel      6      safe
5               top 8    decade they were born                   detalles        roberto carlos      7      safe
6               top 7  ricardo montaner homage                     bésame      ricardo montaner      7      safe
7               top 6             latin rhythm               fruta fresca          carlos vives      3      safe
8               top 5    boleros and rancheras            la media vuelta  josé alfredo jiménez      4      safe
9               top 5    boleros and rancheras                       ella  josé alfredo jiménez      9      safe
10              top 4               love songs    contigo en la distancia           luis miguel      4      safe
11              top 4               love songs             si tú no estas                rosana      8      safe
12              top 3               hits night                     cuándo        ricardo arjona      2      safe
13              top 3               hits night             corazón partío        alejandro sanz      5      safe
14              top 2                   finale            con una canción           carlos peña      1    winner
15              top 2                   finale  usted se me llevó la vida       alexandre pires      3    winner
16              top 2                   finale               cada palabra           carlos peña      5    winner
