    round  pick  overall             name          position                    college
0       1     3        3  claude humphrey     defensive end            tennessee state
1       2     2       29   carlton dabney  defensive tackle               morgan state
2       2    26       53      john wright     wide receiver                   illinois
3       6     2      140        jim hagle      running back                        smu
4       6     9      147        joe wynns    defensive back       south carolina state
5       6    24      162        rick eber     wide receiver                      tulsa
6       8     2      194     ray jeffords         tight end                    georgia
7       9     2      221    henry holland            center          north texas state
8      10     2      248    mike tomasini  defensive tackle             colorado state
9      11     2      275     greg brezina        linebacker                    houston
10     12     2      302        aj vaughn      running back                wayne state
11     13     2      329     billy harris      running back                   colorado
12     14     2      356         joe polk      running back                livingstone
13     15     2      383         don bean     wide receiver                    houston
14     16     2      410         roy hall  offensive tackle             san jose state
15     17     2      437      jim schmidt    defensive back  cal state - san francisco
