   position  jersey                name  height (cm)  weight (kg)            birthdate                           birthplace                     19861987 team
0         g       1        tom barrasso          190           95      march 31 , 1965               boston , massachusetts                    buffalo sabres
1         g      31           bob mason          185           82      april 22 , 1961      international falls , minnesota               washington capitals
2         g      34  john vanbiesbrouck          173           80   september 4 , 1963                   detroit , michigan                  new york rangers
3         d      24       chris chelios          185           86    january 25 , 1962            evergreen park , illinois                montreal canadiens
4         d       2         dave ellett          188           93      march 30 , 1964                     cleveland , ohio                     winnipeg jets
5         d       4       kevin hatcher          193          102   september 9 , 1966                   detroit , michigan               washington capitals
6         d       6        phil housley          178           84       march 9 , 1964                  st paul , minnesota                    buffalo sabres
7         d       5         rod langway          191           99         may 3 , 1957  taipei , taiwan , republic of china               washington capitals
8         d       3         mike ramsey          191           86   december 18 , 1960              minneapolis , minnesota                    buffalo sabres
9         d      20          gary suter          183           93       june 24 , 1964                  madison , wisconsin                    calgary flames
10        f      10        aaron broten          178           79   november 14 , 1960                   roseau , minnesota                 new jersey devils
11       lw       8         curt fraser          183           91    january 12 , 1958                    cincinnati , ohio                chicago blackhawks
12       lw      11        kelly miller          178           84       march 3 , 1963                   detroit , michigan               washington capitals
13        c      13          bob brooke          188           94   december 18 , 1960              melrose , massachusetts                  new york rangers
14        c      21       bob carpenter          183           91       july 13 , 1963              beverly , massachusetts                 los angeles kings
15        c      12        mark johnson          175           73  september 22 , 1957              minneapolis , minnesota                 new jersey devils
16        c      16      pat lafontaine          178           83   february 22 , 1965                  st louis , missouri                new york islanders
17        c       9        corey millen          170           75      march 30 , 1964                   duluth , minnesota  university of minnesota ( wcha )
18        c      26           ed olczyk          185           89     august , 16 1966                   chicago , illinois                chicago blackhawks
19        c      29           joel otto          193          100    october 29 , 1961                elk river , minnesota                    calgary flames
20       rw       7          joe mullen          178           83   february 26 , 1957                             new york                    calgary flames
21       rw      30         chris nilan          183           93    february 9 , 1958                               boston                montreal canadiens
22       rw      14       wayne presley          180           82      march 23 , 1965                  dearborn , michigan                chicago blackhawks
