               no1                  no2              no3               no4               no5                          no6                       no7               no8                 final
0            voted          jorge cinha     jorge nicole      nicole sónia     carlos simara                carlos nicole               joão nicole       carlos joão       winner (day 58)
1            voted         nuno daniela    daniela sónia       romana nuno     carlos simara               daniela carlos              carlos sónia       carlos joão  runner - up (day 58)
2     not in house         not in house     not in house            exempt     carlos simara                romana carlos              carlos sónia      carlos ricky  third place (day 58)
3     not in house         not in house     not in house            exempt    daniela simara                daniela ricky               nicole joão        joão ricky      evicted (day 51)
4            voted        nuno zé maria       nuno ricky       romana nuno     romana carlos                 ricky romana               carlos joão  evicted (day 44)      evicted (day 44)
5            voted          mateus nuno   nuno francisco       romana nuno     daniela ricky               daniela romana               carlos joão  evicted (day 44)      evicted (day 44)
6            voted        nuno zé maria   nuno francisco       romana nuno       joão carlos                  carlos joão          evicted (day 37)  evicted (day 37)      evicted (day 37)
7            voted         jorge mateus      cinha jorge      nicole sónia     carlos simara                 sónia carlos          evicted (day 37)  evicted (day 37)      evicted (day 37)
8     not in house         not in house     not in house            exempt     romana carlos             evicted (day 30)          evicted (day 30)  evicted (day 30)      evicted (day 30)
9            voted          julie cinha      cinha julie      nicole sónia  evicted (day 23)             evicted (day 23)          evicted (day 23)  evicted (day 23)      evicted (day 23)
10           voted         nuno daniela      jorge julie   walked (day 21)   walked (day 21)              walked (day 21)           walked (day 21)   walked (day 21)       walked (day 21)
11           voted           nuno ricky      romana nuno   walked (day 17)   walked (day 17)              walked (day 17)           walked (day 17)   walked (day 17)       walked (day 17)
12           voted          mateus nuno    nuno zé maria   walked (day 17)   walked (day 17)              walked (day 17)           walked (day 17)   walked (day 17)       walked (day 17)
13           voted        ricky daniela    nuno zé maria  evicted (day 16)  evicted (day 16)             evicted (day 16)          evicted (day 16)  evicted (day 16)      evicted (day 16)
14           voted           nuno sonia  evicted (day 9)   evicted (day 9)   evicted (day 9)              evicted (day 9)           evicted (day 9)   evicted (day 9)       evicted (day 9)
15           voted      evicted (day 3)  evicted (day 3)   evicted (day 3)   evicted (day 3)              evicted (day 3)           evicted (day 3)   evicted (day 3)       evicted (day 3)
16  all housemates  daniela mateus nuno       jorge nuno       nuno romana     carlos simara  carlos daniela romana ricky  carlos joão nicole sónia       carlos joão  francisco joão ricky
17          victor               mateus            jorge              nuno            simara               daniela romana              nicole sónia            carlos                  joão
18          victor               mateus            jorge              nuno            simara               daniela romana              nicole sónia            carlos             francisco
19          victor               mateus            jorge              nuno            simara               daniela romana              nicole sónia            carlos                 ricky
