       date                       cover model   centerfold model         interview subject                               pictorials
0    1 - 84                 no model pictured        penny baker                dan rather              mariel hemingway in star 80
1    2 - 84                 kimberly mcarthur    justine greiner                paul simon                              carol wayne
2    3 - 84             susie scott krabacher         dona speir              moses malone        big & beautiful , bridgette monet
3    4 - 84                      kathy shower  lesa ann pedriana              joan collins                           sydney krueger
4    5 - 84  rita jenrette , phillip anderson       patty duffek              calvin klein  rita jenrette , vicki lamotta , ola ray
5    6 - 84                   barbara edwards       tricia lange             jesse jackson                   barbara edwards - pmoy
6    7 - 84                          bo derek        liz stewart             walid jumblat                                 bo derek
7    8 - 84                       terry moore        suzi schott              bobby knight                              terry moore
8    9 - 84                  kimberly evenson   kimberly evenson          shirley maclaine     girls of the big ten , anne carlisle
9   10 - 84                     lesa pedriana       debi johnson           david letterman          babes of broadway , sonia braga
10  11 - 84                 christie brinkley    roberta vasquez      josé napoleón duarte                        christie brinkley
11  12 - 84                    suzanne somers        karen velez  paul and linda mccartney                           suzanne somers
