    year                         event                                      category     nominated work     result
0   2010        47th grand bell awards                             hallyu popularity  71: into the fire        won
1   2010        47th grand bell awards                                best new actor  71: into the fire  nominated
2   2010         8th korea film awards                                best new actor  71: into the fire  nominated
3   2010             style icon awards                     new icon (movie) (korean)  71: into the fire        won
4   2010  31st blue dragon film awards                                best new actor  71: into the fire        won
5   2010  31st blue dragon film awards                                    popularity  71: into the fire        won
6   2010               max movie award                                best new actor  71: into the fire        won
7   2010         5th asian film awards                                best new actor  71: into the fire  nominated
8   2010      47th paeksang arts award                                best new actor  71: into the fire        won
9   2010      47th paeksang arts award  popularity award (actor in a motion picture)  71: into the fire        won
10  2013    17th biff asia star awards                                 rookie awards         commitment        won
