       season                  team 1  score                  team 2                                   venue
0   2002 - 03         bec tero sasana  2 - 2         kashima antlers        suphachalasai stadium , thailand
1   2002 - 03         bec tero sasana  2 - 0         daejeon citizen        suphachalasai stadium , thailand
2   2002 - 03         bec tero sasana  2 - 1        shanghai shenhua        suphachalasai stadium , thailand
3   2002 - 03         bec tero sasana  3 - 1   fc pakhtakor tashkent        suphachalasai stadium , thailand
4   2002 - 03   fc pakhtakor tashkent  1 - 0         bec tero sasana          pakhtakor stadium , uzbekistan
5   2002 - 03                al - ain  2 - 0         bec tero sasana       tahnoun bin mohamed stadium , uae
6   2002 - 03         bec tero sasana  1 - 0                al - ain          rajamangala stadium , thailand
7        2004  jeonbuk hyundai motors  4 - 0         bec tero sasana  jeonju world cup stadium , south korea
8        2004            jubilo iwata  3 - 0         bec tero sasana                  yamaha stadium , japan
9        2004         bec tero sasana  4 - 1        shanghai shenhua      thai - japanese stadium , thailand
10       2004         bec tero sasana  0 - 4  jeonbuk hyundai motors        suphachalasai stadium , thailand
11       2004        shanghai shenhua  1 - 0         bec tero sasana             shanghai stadium , china pr
12       2004         bec tero sasana  2 - 3            jubilo iwata      thai - japanese stadium , thailand
13       2005         bec tero sasana  0 - 1         shandong luneng                                   n / a
14       2005         bec tero sasana  1 - 2      yokohama f marinos                                   n / a
15       2005         bec tero sasana  0 - 1            psm makassar                                   n / a
16       2005         bec tero sasana  0 - 4         shandong luneng                                   n / a
17       2005         bec tero sasana  0 - 2      yokohama f marinos                                   n / a
18       2005         bec tero sasana  2 - 2            psm makassar                                   n / a
