    episode                                        segment 1                         segment 2    original airdate                                       lessons taught
0   2 / 202                           dinosaur big city pt 3            dinosaur big city pt 4  september 7 , 2011  (lessons taught : kosmoceratops / paleontologists )
1   2 / 204                                 shiny and snakes                tiny loves flowers  november 15 , 2011                (lessons taught : sanajeh / flowers )
2   2 / 205                  buddy explores the tyrannosaurs                   rainy day fight  november 16 , 2011               (lessons taught : raptorex / beaches )
3   2 / 206                           that 's not a dinosaur                    tiny 's garden  november 17 , 2011           (lessons taught : s amphibian / s garden )
4   2 / 207                                   the earthquake                       nursery car   february 6 , 2012   (lessons taught : s ceratopsian / s dinosaur egg )
5   2 / 208                                    the lost bird                   the forest fire   february 7 , 2012       (lessons taught : jeholornis / redwood trees )
6   2 / 209                  dry times at pteranodon terrace     big misty sea fishing contest   february 8 , 2012           (lessons taught : s drought / piscivores )
7   2 / 210                  hurricane at pteranodon terrace            rafting the cretaceous   february 9 , 2012             (lessons taught : s hurricane / s raft )
8   2 / 211                               haunted roundhouse            big pond pumpkin patch   october 20 , 2011       (lessons taught : volaticotherium / the moon )
9   2 / 212                               don 's winter wish                festival of lights  february 20 , 2012       (lessons taught : saurornitholestes / aurora )
10  2 / 216                                 a heck of a neck           gilbert visits the nest    august 14 , 2012         (lessons taught : diplodocus / collections )
11  2 / 217                         an apatosaurus adventure                        nature art    august 15 , 2012  (lessons taught : apatosaurus / environmental art )
12  2 / 218                          arnie rides the flatcar                      old reliable    august 16 , 2012       (lessons taught : argentinosaurus / s geyser )
13  2 / 219                           tiny and the crocodile             meet the grandparents  december 10 , 2012          (lessons taught : deinosuchus / migration )
14  2 / 220                                  the egg stealer  to the grandparents' nest we go!  december 11 , 2012                        (lessons taught : oviraptor )
15  2 / 221                         double - crested trouble            erma and the conductor  december 12 , 2012                    (lessons taught : dilophosaurus )
16  2 / 222                           dome - headed dinosaur                     treasure hunt  december 13 , 2012               (lessons taught : pachycephalosaurus )
17  2 / 223  dinosaur train submarine : otto ophthalmosaurus                king meets crystal  february 19 , 2013                  (lessons taught : ophthalmosaurus )
18  2 / 224  dinosaur train submarine : shoshana shonisaurus             all kinds of families  february 20 , 2013      (lessons taught : shonisaurus / sauroposeidon )
19  2 / 225     dinosaur train submarine : maisie mosasaurus                        date night  february 21 , 2013       (lessons taught : mosasaurus / chirostenotes )
