                              year  played  wins  losses  no result    % win
0                        2004 / 05       3     1       2          0   33.33%
1                        2005 / 06       8     8       0          0  100.00%
2                        2006 / 07       4     4       0          0  100.00%
3                        2007 / 08       4     4       0          0  100.00%
4                        2008 / 09       4     4       0          0  100.00%
5                        2009 / 10       4     4       0          0  100.00%
6                        2010 / 11       2     1       1          0   50.00%
7                             2011       4     2       2          0   50.00%
8                        2011 / 12       4     4       0          0  100.00%
9                             2012       5     5       0          0  100.00%
10  2012 champions league twenty20       2     1       1          0   50.00%
11                           total      39    33       6          0   86.00%
