     res       record               opponent                           method                                            event  round  time                 location
0    win  27 - 11 - 2            kenichi ito             decision (unanimous)                                 deep : 61 impact      2  5:00            tokyo , japan
1    win  26 - 11 - 2         masahiro oishi            submission (toe hold)                                 deep : 59 impact      1  1:01            tokyo , japan
2   loss  25 - 11 - 2           leandro issa             decision (unanimous)  one fighting championship : destiny of warriors      3  5:00  kuala lumpur , malaysia
3    win  25 - 10 - 2         kevin belingon   submission (reverse heel hook)     one fighting championship : war of the lions      1  1:18      kallang , singapore
4   loss  24 - 10 - 2       antonio banuelos                 decision (split)     fight for japan : genki desu ka omisoka 2011      2  5:00            tokyo , japan
5    win   24 - 9 - 2            abel cullum              submission (armbar)                                         dream 17      3  0:46          saitama , japan
6   loss   23 - 9 - 2           hideo tokoro             decision (unanimous)                           dream : japan gp final      2  5:00            tokyo , japan
7    win   23 - 8 - 2            kenji osawa           submission (heel hook)                         dream : fight for japan!      2  0:58          saitama , japan
8    win   22 - 8 - 2       keisuke fujiwara             decision (unanimous)                         dream : fight for japan!      2  5:00          saitama , japan
9   loss   21 - 8 - 2       hiroshi nakamura             decision (unanimous)                                 deep : 52 impact      3  5:00            tokyo , japan
10   win   21 - 7 - 2             daiki hata              decision (majority)                               deep : 50th impact      3  5:00            tokyo , japan
11   win   20 - 7 - 2       tomoya miyashita             decision (unanimous)                                 deep : 49 impact      3  5:00            tokyo , japan
12   win   19 - 7 - 2            isao terada              submission (armbar)                                 deep : 47 impact      3  0:27            tokyo , japan
13   win   18 - 7 - 2            justin cruz  submission (omoplata crossface)                          deep : cage impact 2009      1  2:39            tokyo , japan
14   win   17 - 7 - 2          tomohiko hori             decision (unanimous)                                 deep : 43 impact      3  5:00            tokyo , japan
15  loss   16 - 7 - 2      bibiano fernandes             decision (unanimous)                                          dream 9      2  5:00          saitama , japan
16   win   16 - 6 - 2       atsushi yamamoto                 decision (split)                                          dream 7      2  5:00          saitama , japan
17   win   15 - 6 - 2        hiroshi umemura           submission (heel hook)                                 deep : 37 impact      1  0:29            tokyo , japan
18  loss   14 - 6 - 2  dokonjonosuke mishima              decision (majority)                                 deep : 35 impact      3  5:00            tokyo , japan
19   win   14 - 5 - 2             jean silva           submission (heel hook)                                     cage rage 25      1  2:30         london , england
20   win   13 - 5 - 2           hiroyuki abe            submission (toe hold)                                 deep : 32 impact      3  4:32            tokyo , japan
21   win   12 - 5 - 2         kim jong - man              submission (armbar)                                 deep : 31 impact      1  3:28            tokyo , japan
22   win   11 - 5 - 2         robbie olivier              submission (armbar)                                     cage rage 20      1  0:27         london , england
23   win   10 - 5 - 2       takeshi yamazaki                      ko (upkick)                                 deep : 26 impact      3  1:49            tokyo , japan
24  loss    9 - 5 - 2         fredson paixão              decision (majority)                                 deep : 25 impact      3  5:00            tokyo , japan
25   win    9 - 4 - 2          yoshiro maeda            submission (toe hold)                                 deep : 22 impact      3  1:31            tokyo , japan
26   win    8 - 4 - 2             mike brown    submission (rolling kneelock)                                 deep : 22 impact      2  3:38            tokyo , japan
27   win    7 - 4 - 2            fabio mello             decision (unanimous)                               deep : 21st impact      3  5:00            tokyo , japan
28  loss    6 - 4 - 2         joachim hansen                        ko (knee)                                  pride bushido 8      1  2:34           nagoya , japan
29  draw    6 - 3 - 2          yoshiro maeda                  draw (majority)                               deep : 18th impact      3  5:00            tokyo , japan
30   win    6 - 3 - 1         renato tavares           submission (heel hook)                               deep : 17th impact      2  2:36           nagoya , japan
31  loss    5 - 3 - 1           luiz firmino             decision (unanimous)                                  pride bushido 5      2  5:00            osaka , japan
32  loss    5 - 2 - 1         marcus aurélio                 decision (split)                     zst : grand prix final round      2  5:00            tokyo , japan
33   win    5 - 1 - 1           jorge gurgel           submission (heel hook)                   zst : grand prix opening round      1  0:32            tokyo , japan
34  loss    4 - 1 - 1  dokonjonosuke mishima                    tko (punches)                               deep : 11th impact      2  2:58            osaka , japan
35   win    4 - 0 - 1           danny batten              submission (armbar)                          zst : the battlefield 3      1  0:43            tokyo , japan
36   win    3 - 0 - 1       erikas petraitis             decision (unanimous)                          zst : the battlefield 2      2  5:00            tokyo , japan
37   win    2 - 0 - 1               yuji oba              decision (majority)                 pancrase : 2002 anniversary show      2  5:00         yokohama , japan
38   win    1 - 0 - 1       tokusaburo iwama           submission (heel hook)                                premium challenge      1  3:24            tokyo , japan
39  draw    0 - 0 - 1              ryoji sai                   technical draw                    titan fighting championship 1      1  1:29            tokyo , japan
