   year                                network                       play - by - play                  color commentator (s)                    ice level reporters
0  1999                                    fox                            mike emrick                          john davidson                         joe micheletti
1  1998                                    fox                            mike emrick                          john davidson                         joe micheletti
2  1997                                    fox                            mike emrick                          john davidson                         joe micheletti
3  1996                                    fox                            mike emrick                          john davidson                         joe micheletti
4  1995  canceled due to 1994 - 95 nhl lockout  canceled due to 1994 - 95 nhl lockout  canceled due to 1994 - 95 nhl lockout  canceled due to 1994 - 95 nhl lockout
5  1994                                    nbc                            marv albert                          john davidson         bill clement and brenda brenon
6  1993                                    nbc                            marv albert                          john davidson                            ron maclean
7  1992                                    nbc                            marv albert                          john davidson                           bill clement
8  1991                                    nbc                            marv albert                          john davidson                           bill clement
9  1990                                    nbc                            marv albert                          john davidson                            mike emrick
