    pick            player         position     nationality             nhl team                college / junior / club team
0    209  vitali yeremeyev       goaltender      kazakhstan           ny rangers                     hc kamenogorsk (russia)
1    210  frederic cassivi       goaltender          canada      ottawa senators                 st hyacinthe lasers (qmjhl)
2    211      danny dupont          defense          canada      ottawa senators                         laval titan (qmjhl)
3    212     henrik smangs       goaltender          sweden        winnipeg jets                        leksands if (sweden)
4    213  ashlin halfnight          defence          canada     hartford whalers                   harvard university (ncaa)
5    214  jeremy jablonski       goaltender          canada      edmonton oilers                      victoria cougars (whl)
6    215       jan nemecek          defence  czech republic    los angeles kings        české budějovice hc (czech republic)
7    216      yuri smirnov           centre          russia  tampa bay lightning                     moscow spartak (russia)
8    217        tim thomas       goaltender   united states     quebec nordiques                university of vermont (ncaa)
9    218     johan hedberg       goaltender          sweden  philadelphia flyers                        leksands if (sweden)
10   219    evgeni nabokov       goaltender      kazakhstan      san jose sharks                     hc kamenogorsk (russia)
11   220        gord walsh        left wing          canada         ny islanders                   kingston frontenacs (ohl)
12   221      bill muckalt       right wing          canada    vancouver canucks                    kelowna spartans (bcjhl)
13   222   lubomir jandera          defence  czech republic   chicago blackhawks                         hc litvínov (czech)
14   223        john tuohy          defence   united states  washington capitals         kent high school (hs - connecticut)
15   224      marc stephan           centre          canada       st louis blues                tri - cities americans (whl)
16   225      craig millar          defence          canada       buffalo sabres                 swift current broncos (whl)
17   226      tomas vokoun       goaltender  czech republic   montreal canadiens               poldi kladno (czech republic)
18   227    jorgen jonsson           centre          sweden       calgary flames                           rögle bk (sweden)
19   228     marty flichel       right wing          canada         dallas stars                        tacoma rockets (whl)
20   229      john grahame       goaltender   united states        boston bruins       lake superior state university (ncaa)
21   230         matt ball       right wing          canada     hartford whalers                  detroit jr red wings (ohl)
22   231      jeff mikesch           centre   united states    detroit red wings    michigan technological university (ncaa)
23   232     jason godbout          defence   united states  pittsburgh penguins  hill - murray high school (hs - minnesota)
24   233    steve sullivan  centre / winger          canada    new jersey devils            sault ste marie greyhounds (ohl)
25   234      eric boulton        left wing          canada     new york rangers                       oshawa generals (ohl)
