    pick                 player           position    nationality               nhl team      college / junior / club team
0     43         stephane morin             center         canada       quebec nordiques     chicoutimi sagueneens (qmjhl)
1     44             jason zent          left wing  united states     new york islanders        nichols school (ushs - nt)
2     45            rob zamuner          left wing         canada       new york rangers              guelph platers (ohl)
3     46           jason cirone             centre         canada          winnipeg jets             cornwall royals (ohl)
4     47         scott pellerin          left wing         canada      new jersey devils        university of maine (ncaa)
5     48            bob kellogg            defence  united states     chicago blackhawks       springfield olympics (ejhl)
6     49          louie debrusk          left wing         canada       new york rangers              london knights (ohl)
7     50  veli - pekka kautonen            defence        finland         calgary flames            ifk helsinki (finland)
8     51         pierre sevigny          left wing         canada     montreal canadiens   verdun junior canadiens (qmjhl)
9     52        blair atcheynum         right wing         canada       hartford whalers          moose jaw warriors (whl)
10    53       nicklas lidstrom            defence         sweden      detroit red wings             vã¤steras ik (sweden)
11    54            john tanner         goaltender         canada       quebec nordiques          peterborough petes (ohl)
12    55          denny felsner          left wing  united states         st louis blues     university of michigan (ncaa)
13    56           scott thomas         right wing  united states         buffalo sabres        nichols school (ushs - ny)
14    57               wes walz             centre         canada          boston bruins       lethbridge hurricanes (whl)
15    58             john brill  left / right wing  united states    pittsburgh penguins                grand rapids (uss)
16    59          jim mathieson            defence         canada    washington capitals                 regina pats (whl)
17    60         murray garbutt             centre         canada  minnesota north stars         medicine hat tigers (whl)
18    61          jason woolley            defence         canada    washington capitals  michigan state university (ncaa)
19    62            kris draper            defence         canada          winnipeg jets            canadian national team
20    63            corey lyons         right wing         canada         calgary flames       lethbridge hurricanes (whl)
