                    player  bundesliga  dfb - pokal  uefa intertoto cup  uefa cup  dfb - ligapokal  total
0        christian giménez          12            2                   0         1                0     15
1           marko pantelic          14            0                   1         0                0     15
2                 gilberto           5            0                   0         0                0      5
3         yıldıray baştürk           1            2                   1         0                0      4
4               pal dardai           3            0                   0         0                0      3
5   kevin - prince boateng           2            0                   0         1                0      3
6           arne friedrich           2            0                   0         0                0      2
7           dick van burik           2            0                   0         0                0      2
8            patrick ebert           2            0                   0         0                0      2
9              malik fathi           1            1                   0         0                0      2
10       solomon okoronkwo           0            1                   0         1                0      2
11             chinedu ede           1            0                   0         0                0      1
12                   zecke           1            0                   0         0                0      1
13          ashkan dejagah           1            0                   0         0                0      1
14                 mineiro           1            0                   0         0                0      1
15         andreas schmidt           1            0                   0         0                0      1
