     rank          nation  gold  silver  bronze  total
0       1    soviet union     9       1       1     11
1       2            iran     3       2       0      5
2       3           japan     2       0       2      4
3       4          turkey     1       1       1      3
4       5         romania     1       1       0      2
5       6        bulgaria     0       4       3      7
6       7         hungary     0       2       1      3
7       7    west germany     0       2       1      3
8       9          poland     0       1       2      3
9      10         finland     0       1       1      2
10     11      yugoslavia     0       1       0      1
11     12  czechoslovakia     0       0       2      2
12     13    east germany     0       0       1      1
13     13   united states     0       0       1      1
14  total           total    16      16      16     48
