                     title   english translation                      lyrics by                         music by  time
0                 hayırsız            scapegrace                 candan erçetin                macedon anonymous  4:31
1                    neden                   why                 candan erçetin                        anonymous  4:02
2             gamsız hayat         carefree life  aylin atalay & candan erçetin                   candan erçetin  3:50
3              parçalandım   i break into pieces                 candan erçetin     alper erinç & candan erçetin  3:57
4            anlatma sakın            don't tell                          sinan                   candan erçetin  3:36
5                   bensiz            without me                          sinan  neslihan engin & candan erçetin  3:17
6               yapayalnız           very lonely                   aylin atalay                   candan erçetin  4:13
7              mühim değil              it 's ok                          sinan  neslihan engin & candan erçetin  4:13
8             ben böyleyim  this is the way i am                      ümit aksu                armando manzanero  3:44
9                 korkarım            i'm afraid                   aylin atalay  candan erçetin & neslihan engin  3:17
10              dünya hali       nature of world                 candan erçetin                   candan erçetin  3:37
11  yüksek yüksek tepelere         to high hills                      anonymous                        anonymous  4:08
