                tournament                    1998                    1999                    2000                    2001                    2002                    2003                    2004                    2005                    2006                    2007                    2008                    2009                    2010                    2011                    2012
0   grand slam tournaments  grand slam tournaments  grand slam tournaments  grand slam tournaments  grand slam tournaments  grand slam tournaments  grand slam tournaments  grand slam tournaments  grand slam tournaments  grand slam tournaments  grand slam tournaments  grand slam tournaments  grand slam tournaments  grand slam tournaments  grand slam tournaments  grand slam tournaments
1          australian open                       a                       a                       a                       a                      2r                      3r                      1r                      1r                      2r                      1r                      1r                      2r                      1r                      3r                      1r
2              french open                       a                      1r                       a                      3r                      4r                      3r                      4r                      2r                      1r                       a                       a                       a                      2r                      2r                      1r
3                wimbledon                       a                      1r                       a                      2r                      sf                      1r                      4r                      2r                      2r                       a                      2r                      1r                      3r                      4r                      4r
4                  us open                       a                      3r                      2r                      4r                      3r                      4r                      1r                      4r                      3r                      2r                      q1                      q1                      1r                      1r                      1r
5               win - loss                   0 - 0                   2 - 3                   1 - 1                   6 - 3                  11 - 4                   7 - 4                   6 - 4                   5 - 4                   4 - 4                   1 - 2                   1 - 2                   1 - 2                   3 - 4                   6 - 4                   3 - 4
6       atp masters series      atp masters series      atp masters series      atp masters series      atp masters series      atp masters series      atp masters series      atp masters series      atp masters series      atp masters series      atp masters series      atp masters series      atp masters series      atp masters series      atp masters series      atp masters series
7     indian wells masters                       a                      3r                       a                       a                      1r                      2r                      2r                      1r                      3r                       a                      2r                       a                       a                      3r                      2r
8            miami masters                       a                      1r                      2r                       a                      1r                      2r                      3r                      2r                      2r                       a                      3r                       a                      1r                      2r                      2r
9      monte carlo masters                       a                       a                       a                       a                      1r                      1r                      1r                      2r                      1r                       a                      1r                       a                       a                      1r                       a
10            rome masters                       a                       a                       a                       a                      3r                      1r                       a                       a                      2r                       a                       a                       a                       a                      2r                      q2
11          madrid masters                       a                       a                       a                       a                      2r                       a                      1r                       a                      1r                       a                       a                       a                       a                      3r                       a
12          canada masters                       a                       a                       a                      1r                      1r                      1r                      1r                      3r                      qf                       a                       a                       a                      2r                       a                       a
13      cincinnati masters                       a                      1r                       a                      2r                      3r                      2r                      1r                      1r                      1r                       a                       a                       a                       a                      1r                       a
14        shanghai masters      not masters series      not masters series      not masters series      not masters series      not masters series      not masters series      not masters series      not masters series      not masters series      not masters series      not masters series                       a                       a                       a                       a
15           paris masters                       a                       a                       a                      3r                      2r                       a                      2r                      1r                      1r                       a                       a                       a                      1r                       a                       a
16         hamburg masters                       a                       a                       a                       a                      1r                      2r                      1r                       a                      1r                       a                      1r                     nms                     nms                     nms                     nms
17              win - loss                   0 - 0                   2 - 3                   1 - 1                   3 - 3                   6 - 9                   3 - 7                   4 - 8                   3 - 6                   7 - 9                   0 - 0                   3 - 4                   0 - 0                   1 - 3                   6 - 6                   2 - 2
18       career statistics       career statistics       career statistics       career statistics       career statistics       career statistics       career statistics       career statistics       career statistics       career statistics       career statistics       career statistics       career statistics       career statistics       career statistics       career statistics
19         titles - finals                   0 - 1                   0 - 1                   0 - 0                   0 - 2                   0 - 0                   0 - 0                   0 - 2                   1 - 1                   0 - 2                   2 - 2                   0 - 0                   0 - 0                   0 - 0                   0 - 1                   0 - 0
20        year end ranking                     161                     145                     127                      33                      25                      55                      48                      47                      37                     112                     162                      94                      60                      49                      47
