    year                               entrant           chassis                     engine  pts
0   1980                           shadow cars       shadow dn11       ford cosworth dfv v8    0
1   1983                         spirit racing       spirit 201c           honda v6 (t / c)    0
2   1984           tyrrell racing organisation       tyrrell 012       ford cosworth dfy v8    3
3   1984              toleman group motorsport     toleman tg184  hart straight - 4 (t / c)    3
4   1985           tyrrell racing organisation       tyrrell 012       ford cosworth dfy v8   26
5   1985                      scuderia ferrari  ferrari 156 / 85         ferrari v6 (t / c)   26
6   1986                      scuderia ferrari   ferrari f1 / 86         ferrari v6 (t / c)   23
7   1987        marlboro mclaren international   mclaren mp4 / 3             tag v6 (t / c)   30
8   1988                           ligier loto       ligier js31                    judd v8    0
9   1989                        moneytron onyx      onyx ore - 1       ford cosworth dfr v8    6
10  1990                        moneytron onyx      onyx ore - 1       ford cosworth dfr v8    0
11  1991  automobiles gonfaronnaises sportives         ags jh25b       ford cosworth dfr v8    0
12  1991     footwork grand prix international     footwork fa12                porsche v12    0
13  1991     footwork grand prix international    footwork fa12c       ford cosworth dfr v8    0
