    round           date                 grand prix         circuit             125cc winner             250cc winner     motogp winner  report
0       1  12 - 13 april           qatar grand prix          losail           andrea iannone           héctor barberá      casey stoner  report
1       2       26 april        japanese grand prix          motegi           andrea iannone          álvaro bautista     jorge lorenzo  report
2       3          3 may         spanish grand prix           jerez            bradley smith           hiroshi aoyama   valentino rossi  report
3       4         17 may          french grand prix         le mans             julián simón         marco simoncelli     jorge lorenzo  report
4       5         31 may         italian grand prix         mugello            bradley smith            mattia pasini      casey stoner  report
5       6        14 june         catalan grand prix       catalunya           andrea iannone          álvaro bautista   valentino rossi  report
6       7        27 june                   dutch tt           assen             sergio gadea           hiroshi aoyama   valentino rossi  report
7       8         5 july   united states grand prix     laguna seca  no 125cc and 250cc race  no 125cc and 250cc race      dani pedrosa  report
8       9        19 july          german grand prix     sachsenring             julián simón         marco simoncelli   valentino rossi  report
9      10        26 july         british grand prix       donington             julián simón           hiroshi aoyama  andrea dovizioso  report
10     11      16 august  czech republic grand prix            brno            nicolás terol         marco simoncelli   valentino rossi  report
11     12      30 august    indianapolis grand prix    indianapolis            pol espargaró         marco simoncelli     jorge lorenzo  report
12     13    6 september      san marino grand prix          misano             julián simón           héctor barberá   valentino rossi  report
13     14      4 october      portuguese grand prix         estoril            pol espargaró         marco simoncelli     jorge lorenzo  report
14     15     18 october      australian grand prix  phillip island             julián simón         marco simoncelli      casey stoner  report
15     16     25 october       malaysian grand prix          sepang             julián simón           hiroshi aoyama      casey stoner  report
