      date        cover model    centerfold model      interview subject                20 questions                                  pictorials
0   1 - 86  no model pictured       sherry arnett        ruth westheimer                    jay leno                     iman , melanie griffith
1   2 - 86      cherie witter    julie mccullough        michael douglas           anthony pellicano                             women of alaska
2   3 - 86        sally field          kim morris            sally field                 david byrne                        female s disk jockey
3   5 - 86    kathleen turner  christine richters        kathleen turner                kim basinger                            female magicians
4   6 - 86       kathy shower    rebecca ferratti  kareem abdul - jabbar  al unser and al unser , jr           kathy shower - pmoy , linda evans
5   7 - 86       carrie leigh        lynne austin        arthur c clarke                  tom cruise                 carrie leigh , brenda venus
6   8 - 86    lillian mã¼ller          ava fabian         jackie gleason            sigourney weaver                            brigitte nielsen
7   9 - 86   julie mccullough   rebekka armstrong         carl bernstein               gregory hines                         farmer 's daughters
8  10 - 86        sharon kaye    katherine hushaw           phil collins                 jim mcmahon  women of the ivy league , wendy o williams
9  11 - 86    devin devasquez     donna edmondson            joan rivers              david horowitz                             devin devasquez
