     rank         nation  gold  silver  bronze  total
0       1          japan     4       3       3     10
1       2         france     4       3       2      9
2       3    south korea     3       0       3      6
3       4         poland     2       0       1      3
4       5           cuba     1       3       0      4
5       6          spain     1       1       1      3
6       7  great britain     1       0       0      1
7       8        germany     0       2       0      2
8       9        belgium     0       1       4      5
9      10         brazil     0       1       2      3
10     10    north korea     0       1       2      3
11     12        georgia     0       1       1      2
12     13          china     0       0       3      4
13     14          italy     0       0       2      2
14     15        austria     0       0       1      1
15     15  united states     0       0       1      1
16     15         latvia     0       0       1      1
17     15        moldova     0       0       1      1
18     15    netherlands     0       0       1      1
19     15         russia     0       0       1      1
20     15       portugal     0       0       1      1
21     15    switzerland     0       0       1      1
22  total          total    16      16      32     64
