   administrative division  area (km square)  population 2000 census  population (2010 census)  population density 2010 ( / km square)
0             belford roxo              79.0                  434474                    469261                                    5940
1          duque de caxias             464.5                  775456                    855046                                    1840
2               guapimirim             361.0                   37952                     51487                                     143
3                 itaboraí             424.2                  187479                    218090                                     514
4                   japeri              82.9                   83278                     95391                                    1151
5                     magé             386.6                  205830                    228150                                     590
6                 mesquita              34.8                       0                    168403                                    4839
7                nilópolis              19.4                  153712                    157483                                    8118
8                  niterói             129.3                  459451                    487327                                    3769
9              nova iguaçu             523.8                  920599                    797212                                    1518
10               queimados              77.0                  121993                    137938                                    1791
11          rio de janeiro            1260.0                 5857904                   6323037                                    5018
12             são gonçalo             249.1                  891119                   1013901                                    4014
13      são joão de meriti              34.8                  449476                    459356                                   13200
14              seropédica             284.0                   65260                     78183                                     275
15                  tanguá             147.0                   26057                     30731                                     209
