           year                   driver         constructor            location    report
0          1992            nigel mansell  williams - renault  hermanos rodriguez    report
1          1991         riccardo patrese  williams - renault  hermanos rodriguez    report
2          1990              alain prost             ferrari  hermanos rodriguez    report
3          1989             ayrton senna     mclaren - honda  hermanos rodriguez    report
4          1988              alain prost     mclaren - honda  hermanos rodriguez    report
5          1987            nigel mansell    williams - honda  hermanos rodriguez    report
6          1986           gerhard berger      benetton - bmw  hermanos rodriguez    report
7   1985 - 1971                 not held            not held            not held  not held
8          1970               jacky ickx             ferrari  hermanos rodriguez    report
9          1969              denny hulme      mclaren - ford  hermanos rodriguez    report
10         1968              graham hill        lotus - ford  hermanos rodriguez    report
11         1967                jim clark        lotus - ford  hermanos rodriguez    report
12         1966             john surtees   cooper - maserati  hermanos rodriguez    report
13         1965           richie ginther               honda  hermanos rodriguez    report
14         1964               dan gurney    brabham - climax  hermanos rodriguez    report
15         1963                jim clark      lotus - climax  hermanos rodriguez    report
16         1962  trevor taylor jim clark      lotus - climax   magdalena mixhuca    report
