             january             february             march               april              june                july            august                                         september            october         november            december
0         gig gangel          sandy cagle  henriette allais       liz glazowski           ola ray       teri peterson    victoria cooke                                        lisa welch      mardi jacquet   jeana tomasino        terri welles
1        karen price  vicki lynn lasseter   kymberly herrin   lorraine michaels    cathy larmouth      heidi sorenson   debbie boostrom                                       susan smith        kelly tough    shannon tweed  patricia farinelli
2  kimberly mcarthur     anne - marie fox      karen witter   linda rhys vaughn   lourdes estores     lynda wiesmeier   cathy st george                                   connie brighton  marianne gravatte  marlene janssen      charlotte kemp
3         lonny chin         melinda mays      alana soares  christina ferguson     jolanda egger         ruth guerri    carina persson                                   barbara edwards      tracy vaccaro   veronica gamba         terry nihen
4        penny baker      justine greiner        dona speir   lesa ann pedriana      tricia lange         liz stewart       suzi schott                                  kimberly evenson       debi johnson  roberta vasquez         karen velez
5       joan bennett        cherie witter       donna smith        cindy brooks   devin devasquez  hope marie carlton       cher butler                                       venice kong   cynthia brimhall  pamela saunders      carol ficatier
6      sherry arnett     julie mccullough        kim morris         teri weigel  rebecca ferratti        lynne austin        ava fabian                                 rebekka armstrong   katherine hushaw  donna edmondson         laurie carr
7          luann lee       julie peterson      marina baker          anna clark   sandy greenberg         carmen berg   sharry konopski                                        gwen hajek      brandi brandt     pamela stein         india allen
8   kimberley conrad         kari kennell       susie owens       eloise broady        emily arth     terri lynn doss  helle michaelsen                                    laura richmond       shannon long        pia reyes     kata kärkkäinen
9     fawna maclaren          simone eden       laurie wood    jennifer jackson      tawnni cable       erika eleniak      gianna amore  karin van breeschooten & mirjam van breeschooten       karen foster    renee tenison       petra verkaik
