                                               name  rank  out of                             source       year
0       number of agricultural machinery : tractors    22     190                         world bank       2003
1                         irrigated land per capita    14     173                 cia world factbook       2003
2                           total agricultural land    15     199                         world bank       2005
3                total agricultural land per capita    57     199                         world bank       2005
4                           area of permanent crops    18     181  food and agriculture organization       2000
5               arable land as % of total land area   109     199                         world bank       2005
6   permanent cropland area as % of total land area   110     187                         world bank       2005
7                  index of agricultural production    13     149                     united nations  1996 - 98
8          annual diesel consumption in agriculture     7     107                     united nations       2005
9   agricultural electricity consumption per capita    18     110                     united nations       2005
10                                cereal production    13     149          world resources institute       2001
11                       meat production per capita    73     149                     united nations       1998
