             player    nationality         position       from              school / country
0     lloyd daniels  united states  guard / forward       1994        mt san antonio college
1    adrian dantley  united states  guard / forward       1977                    notre dame
2        brad davis  united states            guard       1977                      maryland
3     walter devlin  united states            guard       1957  george washington university
4  ernie digregorio  united states            guard       1977                    providence
5       vlade divac         serbia           center  1989 2004   sfr yugoslavia , now serbia
6        larry drew  united states            guard       1989                      missouri
7       chris duhon  united states            guard       2012                    seton hall
8      walter dukes  united states           center       1956                    seton hall
9         jack dwan  united states  guard / forward       1948     loyola university chicago
