   place               player           country               score  to par
0      1          tiger woods     united states  66 + 67 + 71 = 204      12
1      2  josé maría olazábal             spain  68 + 70 + 68 = 206      10
2     t3        retief goosen      south africa  68 + 73 + 66 = 207       9
3     t3    colin montgomerie          scotland  71 + 66 + 70 = 207       9
4     t5           brad faxon     united states  72 + 66 + 70 = 208       8
5     t5        sergio garcía             spain  70 + 69 + 69 = 208       8
6     t7     michael campbell       new zealand  69 + 72 + 68 = 209       7
7     t7          vijay singh              fiji  69 + 69 + 71 = 209       7
8     t9          bart bryant     united states  69 + 70 + 71 = 210       6
9     t9            tim clark      south africa  71 + 69 + 70 = 210       6
10    t9        darren clarke  northern ireland  73 + 70 + 67 = 210       6
11    t9            john daly     united states  71 + 69 + 70 = 210       6
12    t9         søren hansen           denmark  72 + 72 + 66 = 210       6
13    t9      maarten lafeber       netherlands  73 + 70 + 67 = 210       6
14    t9      bernhard langer           germany  71 + 69 + 70 = 210       6
15    t9           sandy lyle          scotland  74 + 67 + 69 = 210       6
16    t9          sean o'hair     united states  73 + 67 + 70 = 210       6
17    t9          kenny perry     united states  71 + 71 + 68 = 210       6
18    t9       scott verplank     united states  68 + 70 + 72 = 210       6
