                        name  pld  goals  assists  points  pims
0           milos melicherik   59     29       61      90    92
1               lukas smital   54     36       48      84   102
2               stuart potts   61     18       59      77    32
3             taras foremsky   40     27       39      66    51
4                 rick plant   61     22       42      64    76
5           ollie bronnimann   61     30       27      57    34
6                jozef kohut   30     27       26      53    77
7             vaclav zavoral   46     25       22      47   221
8                 paul dixon   54      9       38      47    48
9                  rob lamey   61     19       25      44    70
10              david savage   53     21       22      43    56
11             neil liddiard   50      5       21      26    72
12               terry miles   46      6       18      24    42
13           dominic hopkins   54      3        9      12    48
14                nick cross   32      3        6       9    54
15                ben duggan   60      2        5       7     6
16                ben austin   61      0        5       5    55
17                rick skene   52      3        1       4    62
18               joe watkins   53      0        2       2    69
19  ben johnson (ice hockey)   60      0        2       2     6
20               alex mettam   18      0        1       1     0
21             gavin jackson    0      0        0       0     0
