     region                           host                                       venue             city                 state
0      east         university of virginia    university hall (university of virginia)  charlottesville              virginia
1      east      university of connecticut                     harry a gampel pavilion           storrs           connecticut
2      east          university of alabama                            coleman coliseum       tuscaloosa               alabama
3      east      louisiana tech university                      thomas assembly center           ruston             louisiana
4   mideast    western kentucky university                             ea diddle arena    bowling green              kentucky
5   mideast       university of washington                      hec edmundson pavilion          seattle            washington
6   mideast        university of tennessee                     thompson - boling arena        knoxville             tennessee
7   mideast          texas tech university                  lubbock municipal coliseum          lubbock                 texas
8   midwest          university of georgia        georgia coliseum (stegeman coliseum)           athens               georgia
9   midwest  pennsylvania state university              recreation building (rec hall)  university park          pennsylvania
10  midwest         university of colorado      cu events center (coors events center)          boulder              colorado
11  midwest   george washington university             charles e smith athletic center       washington  district of columbia
12     west   university of north carolina                       carmichael auditorium      chapel hill        north carolina
13     west          vanderbilt university  memorial gymnasium (vanderbilt university)        nashville             tennessee
14     west            stanford university                             maples pavilion         stanford            california
15     west                san diego state                                peterson gym        san diego            california
