    draw                            song            performer  points  rank
0      1                   sve sto si ti    valentina brzovic       2  17th
1      2                            nebo        zorica kondza      78   7th
2      3                zivot iza ponoci           ready cool      32  15th
3      4         jos te volim kao nekada              stijene      70   8th
4      5       stara zvone jedne ljubavi                  ena       0  18th
5      6  ja cu po svom , ti ces po svom               melani      10  16th
6      7             ako me ikad pozelis       tina and niksa      48  13th
7      8                         daj daj  branimir mihaljevic     132   3rd
8      9                 u ritmu ljubavi              colonia      87   4th
9     10                  na svijetu sve              magazin      79   6th
10    11                   pjesma putuje         ivan mikulic      61  11th
11    12                  sve je za tebe       marsell benzon      52  12th
12    13                     bez ljubavi         alen nizetic      63  10th
13    14      samo ti je ljubav potrebna        andrea cubric      42  14th
14    15            da bar vjecno zivimo        sanja trumbic       0  18th
15    16             ljubi me i to je to          lana cencic       0  18th
16    17                neka mi ne svane             danijela     177   1st
17    18                          bolero       zrinka & goran     133   2nd
18    19             pricaj mi o ljubavi          novi fosili      69   9th
19    20                    ruku na srce              azzurro      83   5th
