    rank          nation  gold  silver  bronze  total
0      1          russia    10       8       7     25
1      2   great britain     6       5       2     13
2      3         germany     5       4       5     14
3      4          france     4       3       2      9
4      5         ukraine     3       6       3     12
5      6           spain     3       2       4      9
6      7          norway     3       2       1      6
7      8           italy     2       3       3      8
8      9        portugal     2       1       0      3
9     10        bulgaria     2       0       3      5
10    11         belarus     1       4       0      5
11    12         finland     1       1       0      2
12    13         ireland     1       0       0      1
13    13        slovenia     1       0       0      1
14    15          sweden     0       2       0      2
15    16         belgium     0       1       2      3
16    17  czech republic     0       1       1      2
17    17          poland     0       1       1      2
18    19         hungary     0       1       0      1
19    20         romania     0       0       3      3
20    21     switzerland     0       0       2      2
21    22         croatia     0       0       1      1
22    22          greece     0       0       1      1
23    22          latvia     0       0       1      1
24    22       lithuania     0       0       1      1
25    25           total    44      45      43    132
