    year       e3 harelbeke ( bel )           gent - wevelgem ( bel )     tour of flanders ( bel )            paris - roubaix ( fra )
0   2013  fabian cancellara ( sui )               peter sagan ( svk )    fabian cancellara ( sui )          fabian cancellara ( sui )
1   2012         tom boonen ( bel )                tom boonen ( bel )           tom boonen ( bel )                 tom boonen ( bel )
2   2011  fabian cancellara ( sui )                tom boonen ( bel )          nick nuyens ( bel )          johan vansummeren ( bel )
3   2010  fabian cancellara ( sui )            bernhard eisel ( aut )    fabian cancellara ( sui )          fabian cancellara ( sui )
4   2009    filippo pozzato ( ita )      edvald boasson hagen ( nor )       stijn devolder ( bel )                 tom boonen ( bel )
5   2008  kurt asle arvesen ( nor )              oscar freire ( esp )       stijn devolder ( bel )                 tom boonen ( bel )
6   2007         tom boonen ( bel )          marcus burghardt ( ger )    alessandro ballan ( ita )             stuart o'grady ( aus )
7   2006         tom boonen ( bel )              thor hushovd ( nor )           tom boonen ( bel )          fabian cancellara ( sui )
8   2005         tom boonen ( bel )               nico mattan ( bel )           tom boonen ( bel )                 tom boonen ( bel )
9   2004         tom boonen ( bel )                tom boonen ( bel )     steffen wesemann ( ger )           magnus bäckstedt ( swe )
10  2003    steven de jongh ( ned )             andreas klier ( ger )    peter van petegem ( bel )          peter van petegem ( bel )
11  2002        dario pieri ( ita )           mario cipollini ( ita )          andrea tafi ( ita )              johan museeuw ( bel )
12  2001      andrei tchmil ( bel )           george hincapie ( usa )   gianluca bortolami ( ita )             servais knaven ( ned )
13  2000      sergei ivanov ( rus )           geert van bondt ( bel )        andrei tchmil ( bel )              johan museeuw ( bel )
14  1999  peter van petegem ( bel )                tom steels ( bel )    peter van petegem ( bel )                andrea tafi ( ita )
15  1998      johan museeuw ( bel )       frank vandenbroucke ( bel )        johan museeuw ( bel )           franco ballerini ( ita )
16  1997  hendrik van dijck ( bel )          philippe gaumont ( fra )        rolf sørensen ( den )           frédéric guesdon ( fra )
17  1996       carlo bomans ( bel )                tom steels ( bel )      michele bartoli ( ita )              johan museeuw ( bel )
18  1995        bart leysen ( bel )           lars michaelsen ( den )        johan museeuw ( bel )           franco ballerini ( ita )
19  1994      andrei tchmil ( bel )          wilfried peeters ( bel )         gianni bugno ( ita )              andrei tchmil ( bel )
20  1993    mario cipollini ( ita )           mario cipollini ( ita )        johan museeuw ( bel )  gilbert duclos - lassalle ( fra )
21  1992      johan museeuw ( bel )           mario cipollini ( ita )         jacky durand ( fra )  gilbert duclos - lassalle ( fra )
22  1991        olaf ludwig ( ger )  djamolidine abdoujaparov ( uzb )  edwig van hooydonck ( bel )                marc madiot ( fra )
23  1990      soren lilholt ( dnk )             herman frison ( bel )      moreno argentin ( ita )            eddy planckaert ( bel )
