    rank         nation  gold  silver  bronze  total
0      1        belgium     2       0       0      2
1      2         france     1       1       4      6
2      3  united states     1       0       2      3
3      3          japan     1       0       2      3
4      5  great britain     1       0       1      2
5      6          italy     1       0       0      1
6      6      venezuela     1       0       0      1
7      8    netherlands     0       3       2      5
8      9      australia     0       1       2      3
9     10        austria     0       1       1      2
10    10          china     0       1       1      2
11    11        germany     0       1       0      1
12    12         poland     0       0       1      1
