    pick            player    position     nationality                 nhl team                         college / junior / club team
0    261    per gustafsson     defence          sweden         florida panthers                                        hv71 (sweden)
1    262  jeremy stevenson   left wing   united states  mighty ducks of anaheim                     sault ste marie greyhounds (ohl)
2    263          rob mara   left wing   united states       chicago blackhawks        belmont hill high school (hs - massachusetts)
3    264       jason issel   left wing          canada            winnipeg jets                          prince albert raiders (whl)
4    265     steve nimigon   left wing          canada         hartford whalers                          niagara falls thunder (ohl)
5    266  ladislav benysek     defence  czech republic          edmonton oilers                          olomouc hc (czech republic)
6    267        jamie butt   left wing          canada               ny rangers                                 tacoma rockets (whl)
7    268       brian white     defence   united states      tampa bay lightning  arlington catholic high school (hs - massachusetts)
8    269       mike hanson      centre   united states        new jersey devils                minot high school (hs - north dakota)
9    270     jan lipiansky     forward        slovakia      philadelphia flyers                         slovan bratislava (slovakia)
10   271  david beauregard   left wing          canada          san jose sharks                          st hyacinthe lasers (qmjhl)
11   272    dick tarnstrom     defence          sweden       new york islanders                                         aik (sweden)
12   273    robert longpre      centre          canada        vancouver canucks                            medicine hat tigers (whl)
13   274    antti tormanen   left wing         finland          ottawa senators                                    jokerit (finland)
14   275  sergei tertyshny     defence          russia      washington capitals                         chelyabinsk traktor (russia)
15   276  scott fankhouser  goaltender   united states           st louis blues            university of massachusetts lowell (ncaa)
16   277     shayne wright     defence          canada           buffalo sabres                             owen sound platers (ohl)
17   278      ross parsons     defence          canada       montreal canadiens                                    regina pats (whl)
18   279    pavel torgayev      centre          russia           calgary flames                                        tps (finland)
19   280      chris szysky  right wing          canada             dallas stars                          swift current broncos (whl)
20   281   andrei yakhanov     defence          russia            boston bruins                         ufa salavat yulayev (russia)
21   282        doug nolan     defence   united states      toronto maple leafs   catholic memorial high school (hs - massachusetts)
22   283     toivo suursoo   left wing         estonia        detroit red wings                       krylya sovetov moscow (russia)
23   284      brian leitza  goaltender   united states      pittsburgh penguins                         sioux city musketeers (ushl)
24   285        steven low     defence          canada         quebec nordiques                           sherbrooke faucons (qmjhl)
25   286      kim johnsson     defence          sweden         new york rangers                                    malmã if (sweden)
