             council  tuv  democratic unionist  ulster unionist  alliance  sdlp  sinn fãin  green (ni)  independent  others  total
0             antrim    0                    5                5         2     3          4           0            0       0     19
1               ards    0                   11                6         4     1          0           0            1       0     23
2             armagh    0                    4                6         0     5          6           0            1       0     22
3          ballymena    2                   12                4         1     2          2           0            1       0     24
4         ballymoney    1                    8                2         0     1          3           0            1       0     16
5          banbridge    0                    5                7         1     2          1           0            0       0     17
6            belfast    0                   15                3         6     8         16           0            1   2 pup     51
7      carrickfergus    0                    8                4         3     0          0           0            2       0     17
8        castlereagh    0                   11                3         6     2          0           1            0       0     23
9          coleraine    0                    9                5         2     3          1           0            2       0     22
10         cookstown    0                    3                3         0     4          6           0            0       0     16
11         craigavon    0                    9                6         1     2          8           0            0       0     26
12             derry    0                    5                1         0    14         10           0            0       0     30
13              down    0                    3                3         1     9          5           1            1       0     23
14         dungannon    0                    6                4         0     3          8           0            1       0     22
15         fermanagh    0                    4                6         0     3          9           0            1       0     23
16             larne    1                    4                3         3     1          1           0            2       0     15
17          limavady    1                    2                2         0     3          6           0            0       0     16
18           lisburn    0                   14                5         3     3          5           0            0       0     30
19       magherafelt    0                    3                2         0     2          9           0            0       0     16
20             moyle    1                    2                3         0     2          3           0            4       0     15
21  newry and mourne    0                    1                3         0     9         14           0            2  1 ukip     30
22      newtownabbey    0                   12                5         5     1          2           0            0       0     25
23        north down    0                   11                3         7     0          0           1            3       0     25
24             omagh    0                    3                3         0     3         10           0            2       0     21
