    pick              nfl team             player          position              college
0     85       baltimore colts         phil smith     wide receiver      san diego state
1     86        houston oilers          greg hill    defensive back       oklahoma state
2     87      los angeles rams       chuck nelson            kicker           washington
3     88        houston oilers     mike mccloskey         tight end           penn state
4     89   philadelphia eagles      mike williams      running back  mississippi college
5     90   san francisco 49ers         tom holmoe    defensive back        brigham young
6     91         chicago bears         tom thayer            center           notre dame
7     92    kansas city chiefs         ron wetzel         tight end        arizona state
8     93         buffalo bills        trey junkin        linebacker       louisiana tech
9     94         detroit lions      august curley        linebacker                  usc
10    95    san diego chargers      danny walters    defensive back             arkansas
11    96    st louis cardinals          mark duda  defensive tackle             maryland
12    97      los angeles rams      vince newsome    defensive back           washington
13    98    new orleans saints         gary lewis  defensive tackle       oklahoma state
14    99  tampa bay buccaneers       kelly thomas            tackle                  usc
15   100     minnesota vikings          mark rush      running back           miami (fl)
16   101  new england patriots     johnny rembert        linebacker              clemson
17   102       atlanta falcons        john harper        linebacker    southern illinois
18   103    st louis cardinals  lionel washington    defensive back               tulane
19   104     green bay packers        mike miller     wide receiver            tennessee
20   105         new york jets         wes howell         tight end           california
21   106   pittsburgh steelers   bo scott metcalf    defensive back               baylor
22   107         chicago bears       pat dunsmore         tight end                drake
23   108        dallas cowboys     chris faulkner         tight end              florida
24   109    cincinnati bengals      steve maidlow        linebacker       michigan state
25   110   los angeles raiders      greg townsend     defensive end      texas christian
26   111      los angeles rams          doug reed  defensive tackle      san diego state
