            nation  gold  silver  bronze  total
0           russia     6       4       7     17
1          ukraine     5       6       4     15
2       kazakhstan     4       0       1      5
3          belarus     3       2       0      5
4            china     2       2       2      6
5          germany     2       2       1      5
6        australia     2       2       0      4
7           turkey     2       1       1      4
8          morocco     2       1       0      3
9         thailand     2       1       0      3
10         finland     2       0       0      2
11          poland     1       2       3      6
12    south africa     1       2       1      4
13   great britain     1       1       2      4
14          latvia     1       1       1      3
15           egypt     1       1       0      2
16     south korea     1       1       0      2
17     north korea     1       0       2      3
18            cuba     1       0       1      2
19       lithuania     1       0       1      2
20         algeria     1       0       0      1
21         austria     1       0       0      1
22        bulgaria     1       0       0      1
23            iran     1       0       0      1
24        portugal     1       0       0      1
25           japan     0       3       3      6
26         belgium     0       2       1      3
27          brazil     0       1       3      4
28          uganda     0       1       1      2
29  chinese taipei     0       1       1      2
30           italy     0       1       1      2
31         croatia     0       1       0      1
32          cyprus     0       1       0      1
33         ireland     0       1       0      1
34           kenya     0       1       0      1
35      mozambique     0       1       0      1
36         romania     0       1       0      1
37        slovakia     0       1       0      1
38           spain     0       1       0      1
39  czech republic     0       0       2      2
40          canada     0       0       1      1
41         estonia     0       0       1      1
42          greece     0       0       1      1
43         moldova     0       0       1      1
44     puerto rico     0       0       1      1
45          serbia     0       0       1      1
46     switzerland     0       0       1      1
47           total    46      46      46    138
