    tie no               home team  score                away team             date
0        1                 walsall  1 - 0           leicester city  28 january 1978
1        2       nottingham forest  2 - 1          manchester city  31 january 1978
2        3        bolton wanderers  1 - 0           mansfield town  6 february 1978
3        4           middlesbrough  3 - 2                  everton  28 january 1978
4        5            derby county  2 - 1          birmingham city  1 february 1978
5        6            ipswich town  4 - 1        hartlepool united  28 january 1978
6        7        newcastle united  2 - 2                  wrexham  28 january 1978
7   replay                 wrexham  4 - 1         newcastle united  6 february 1978
8        8          bristol rovers  2 - 0              southampton  28 january 1978
9        9         west ham united  1 - 1      queens park rangers  28 january 1978
10  replay     queens park rangers  6 - 1          west ham united  31 january 1978
11      10  brighton & hove albion  1 - 2             notts county  31 january 1978
12      11       manchester united  1 - 1     west bromwich albion  28 january 1978
13  replay    west bromwich albion  3 - 2        manchester united  1 february 1978
14      12                millwall  4 - 0               luton town  31 january 1978
15      13                 chelsea  6 - 2                  burnley  31 january 1978
16      14                 arsenal  2 - 1  wolverhampton wanderers  28 january 1978
17      15              stoke city  2 - 3           blyth spartans  6 february 1978
18      16                  orient  3 - 1         blackburn rovers  28 january 1978
