   rank                  name                                years  league  total
0     1       giuseppe meazza              1927 - 1940 1946 - 1947     247    284
1     2  alessandro altobelli                          1977 - 1988     128    209
2     3    roberto boninsegna                          1969 - 1976     113    171
3     4        sandro mazzola                          1960 - 1977     116    160
4     5        luigi cevenini  1912 - 1915 1919 - 1921 1922 - 1927     158    158
5     6        benito lorenzi                          1947 - 1958     138    143
6     7          istván nyers                          1948 - 1954     133    133
7     8       christian vieri                          1999 - 2005     103    123
8     9          ermanno aebi              1909 - 1915 1919 - 1923     106    106
9    10           mario corso                          1958 - 1973      75     94
