           name  league  fa cup  league cup  europe  total
0   hasselbaink      13       0           0       3     16
1           job       5       1           0       2      8
2        viduka       5       0           0       2      7
3        zenden       4       0           0       3      7
4       downing       5       0           0       1      6
5        nãmeth       4       0           1       1      6
6      queudrue       5       0           0       0      5
7      morrison       0       0           1       3      4
8       boateng       3       0           0       0      3
9       riggott       2       0           0       1      3
10       graham       1       0           1       0      2
11     reiziger       1       0           0       0      1
12     christie       1       0           0       0      1
13       doriva       0       1           0       0      1
14    own goals       4       0           0       0      4
