   season                               club                             league  apps  goals
0    2000                 los angeles galaxy                major league soccer    16      3
1    2001                 los angeles galaxy                major league soccer    26      3
2    2002                 los angeles galaxy                major league soccer    17      0
3    2003                 los angeles galaxy                major league soccer    20      0
4    2004                 los angeles galaxy                major league soccer    12      0
5    2005                 los angeles galaxy                major league soccer    29      5
6    2006                 los angeles galaxy                major league soccer    25      2
7    2007                 los angeles galaxy                major league soccer    24      0
8    2008                 los angeles galaxy                major league soccer    14      1
9    2009                seattle sounders fc                major league soccer    14      0
10   2010                seattle sounders fc                major league soccer     7      0
11   2011             vancouver whitecaps fc                major league soccer    16      0
12   2012                         chivas usa                major league soccer     1      0
13  total  last updated : february 22 , 2012  last updated : february 22 , 2012   221     14
