                                          tie no                                      home team                                          score                                      away team                                     attendance
0                                              1                                cheltenham town                                          1 - 2                                        walsall                                           1741
1                                              2                                hereford united                                          1 - 2                                   swindon town                                           1458
2                                              3                              wycombe wanderers                                          0 - 7                                shrewsbury town                                           1730
3                                              4                             milton keynes dons                                          0 - 1                                    bournemouth                                           4329
4                                              5                            peterborough united                                          0 - 1                           dagenham & redbridge                                           2644
5                                              6                         brighton & hove albion                                          2 - 2                                  leyton orient                                           2157
6  brighton & hove albion won 5 - 4 on penalties  brighton & hove albion won 5 - 4 on penalties  brighton & hove albion won 5 - 4 on penalties  brighton & hove albion won 5 - 4 on penalties  brighton & hove albion won 5 - 4 on penalties
7                                              7                                     gillingham                                          0 - 1                              colchester united                                           1557
8                                              8                                     luton town                                          2 - 2                                      brentford                                           2029
9              luton town won 4 - 3 on penalties              luton town won 4 - 3 on penalties              luton town won 4 - 3 on penalties              luton town won 4 - 3 on penalties              luton town won 4 - 3 on penalties
