    series  season                             title                               directed by                                  written by     original airdate
0       21       1                         catatonic                                erik wiese                   cynthia true , erik wiese    october 25 , 2009
1       22       2    what 's the frequency , bessie                                erik wiese                                   mike bell  september 25 , 2009
2       22       2                          bee nice              erik wiese , eddie trigueros                                 jessica gao  september 24 , 2009
3       23       3                       dirty happy              erik wiese , eddie trigueros                                 brendan hay  september 21 , 2009
4       23       3                   tour d'alcatraz              erik wiese , eddie trigueros                                 brendan hay  september 23 , 2009
5       24       4                   hairy situation              erik wiese , eddie trigueros                                 jessica gao  september 22 , 2009
6       24       4                        b plus one                    erik wiese , bill wray                               julia miranda    january 16 , 2010
7       25       5                    bad to the bee                                erik wiese                                 jessica gao   november 14 , 2009
8       25       5                  hive of darkness                  erik wiese , alex kirwan    jessica gao , cynthia true , brendan hay    january 16 , 2010
9       26       6         mr turtleton 's wild ride                                erik wiese                             jessica chaffin   november 14 , 2009
10      26       6            a pirate 's life for b                                erik wiese                                 jessica gao       june 18 , 2011
11      27       7                     awww - esome!  erik wiese , eddie trigueros , bill wray                                cynthia true     january 2 , 2010
12      27       7             dogcatcher in the rye                                erik wiese                                 brendan hay     january 2 , 2010
13      28       8                              rinx              erik wiese , eddie trigueros                                 jessica gao    november 6 , 2010
14      28       8        sleepless in san francisco              erik wiese , eddie trigueros                                 brendan hay    november 6 , 2010
15      29       9                finger pickin' bad                  erik wiese and bill wray  cynthia true , jessica gao and brendan hay   november 13 , 2010
16      29       9                 higgenbottom 's 7                  erik wiese and trigueros                                 jessica gao   november 13 , 2010
17      30      10         o brother , what are thou              erik wiese , eddie trigueros                                 brendan hay    december 2 , 2010
18      31      11                   stuffed happens              erik wiese , eddie trigueros                                 brendan hay    december 2 , 2010
19      32      12             gorillas in the midst                  erik wiese and bill wray                                 brendan hay        may 15 , 2011
20      33      13                  it 's b 's party              erik wiese , eddie trigueros                                 jessica gao   november 20 , 2010
21      33      13                          b - chip                    erik wiese , bill wray                               julia miranda   november 20 , 2010
22      34      14           the old bee and the sea                    erik wiese , bill wray                                 brendan hay   november 29 , 2010
23      34      14            one million years beec              erik wiese , eddie trigueros  cynthia true , jessica gao and brendan hay   november 29 , 2010
24      35      15                 the bone identity            erik wiese and eddie trigueros  jessica gao , brendan hay and cynthia true   november 30 , 2010
25      35      15                   grumpy old bees                  erik wiese and bill wray                                 brendan hay   november 30 , 2010
26      36      16                     space evaders                  erik wiese and bill wray    jessica gao , brendan hay , cynthia true        may 22 , 2011
27      36      16                              yips                    erik wiese , bill wray                                 jessica gao        may 22 , 2011
28      37      17           children of the unicorn                    erik wiese , bill wray                                 brendan hay    december 1 , 2010
29      37      17             my way or the bee way              erik wiese , eddie trigueros                                 brendan hay    december 1 , 2010
30      38      18                    public enembee            erik wiese and eddie trigueros                                 jessica gao        may 29 , 2011
31      38      18              bang the drum timely            erik wiese and eddie trigueros                                 jessica gao        may 29 , 2011
32      39      19  the league of ordinary gentlemen            erik wiese and eddie trigueros                                 jessica gao        june 5 , 2011
33      39      19        irritable bowling syndrome                  erik wiese and bill wray                 jessica gao and brendan hay        june 5 , 2011
34      40      20                          bess - e            erik wiese and eddie trigueros                                 jessica gao       june 12 , 2011
35      40      20                  c'mon get happy!                  erik wiese and bill wray  jessica gao , brendan hay and cynthia true       june 12 , 2011
