    season  series                        title          director (s)                    writer (s)   original airdate
0        1      45          fairy tale , ending           karl zwicky                 chris mccourt   12 february 2003
1        2      46    better the devil you know           karl zwicky                  vicki madden   19 february 2003
2        3      47                the road home           bill hughes                 ciula sandler   26 february 2003
3        4      48          an affair to forget           bill hughes            christina milligan       5 march 2003
4        5      49              put to the test         richard jasek                   alexa wyatt      12 march 2003
5        6      50                  the wedding         richard jasek                  jeff trauman      19 march 2003
6        7      51             gone to the dogs            cath roden                 ysabelle dean       2 april 2003
7        8      52  the ghost of things to come            cath roden                 denise morgan       9 april 2003
8        9      53               house of cards           karl zwicky                 chris mccourt      23 april 2003
9       10      54           three little words           karl zwicky                   dave warner      30 april 2003
10      11      55             repeat offenders           bill hughes                chris hawkshaw         7 may 2003
11      12      56           sins of the father           bill hughes                 shane brennan        14 may 2003
12      13      57          jokers to the right            cath roden                margaret kelly        21 may 2003
13      14      58               chain reaction            cath roden                   jeff truman        28 may 2003
14      15      59              the awful truth  chris martin - jones                 chris mccourt        4 june 2003
15      16      60             seeing the light  chris martin - jones                 ysabelle dean       23 july 2003
16      17      61        a slight interruption           karl zwicky             elizabeth packett       30 july 2003
17      18      62               old beginnings           karl zwicky                 denise morgan      6 august 2003
18      19      63         where there 's smoke               ali ali                chris hawkshaw     13 august 2003
19      20      64                perfect match               ali ali  jutta goetze & giula sandler     20 august 2003
20      21      65         let the best man win  chris martin - jones    chris pearce & alexa wyatt     27 august 2003
21      22      66               majority rules  chris martin - jones                chris hawkshaw   3 september 2003
22      23      67          the ties that blind           karl zwicky                   dave warner  10 september 2003
23      24      68           one step at a time           karl zwicky                 chris mccourt  17 september 2003
24      25      69                  time frames               ali ali             kathriene thomson  24 september 2003
25      26      70                body language               ali ali                 giula sandler     1 october 2003
26      27      71             to catch a thief   chris matin - jones            christina milligan     8 october 2003
27      28      72        my noon , my midnight  chris martin - jones                chris hawkshaw    15 october 2003
28      29      73             the long goodbye           karl zwicky                 denise morgan    22 october 2003
