     rank          nation  gold  silver  bronze  total
0       1         hungary     7       3       1     11
1       2    soviet union     1       6       3     10
2       3         romania     3       3       2      8
3       4    east germany     2       3       2      7
4       5          poland     1       1       1      3
5       6        bulgaria     1       0       2      3
6       7    west germany     1       0       2      3
7       8  united kingdom     2       0       0      2
8       9          france     0       1       1      2
9      10      yugoslavia     0       1       1      2
10     11         denmark     0       0       2      2
11     12       australia     0       0       1      1
12  total           total    18      18      18     54
