    pick           player    position            nationality                 nhl team   college / junior / club team
0     81      keith smith     defence                 canada       new york islanders        brown university (ecac)
1     82  willie trognitz   left wing                 canada  california golden seals    thunder bay vulcans (tbjhl)
2     83       jim cowell      centre                 canada        vancouver canucks             ottawa 67 's (oha)
3     84       doug marit     defence                 canada      toronto maple leafs             regina pats (wchl)
4     85      ken houston     defence                 canada           atlanta flames          chatham maroons sojhl
5     86  blair macdonald  right wing                 canada        los angeles kings        cornwall royals (qmjhl)
6     87      don seiling   left wing                 canada      pittsburgh penguins          oshawa generals (oha)
7     88      randy smith   left wing                 canada           st louis blues      edmonton oil kings (wchl)
8     89        david lee   left wing  united kingdom canada    minnesota north stars             ottawa 67 's (oha)
9     90    doug ferguson     defence                 canada      philadelphia flyers       hamilton red wings (oha)
10    91   glenn cickello     defence                 canada        detroit red wings       hamilton red wings (oha)
11    92     neil korzack   left wing                 canada           buffalo sabres       peterborough petes (oha)
12    93   garry doerksen      centre                 canada      chicago black hawks           winnipeg jets (wchl)
13    94  dwayne pentland     defence                 canada         new york rangers     brandon wheat kings (wchl)
14    95      jp burgoyne     defence                 canada            boston bruins     shawinigan dynamos (qmjhl)
15    96      denis patry  right wing                 canada       montreal canadiens  drummondville rangers (qmjhl)
