   rank          nation  gold  silver  bronze  total
0     1          france     1       3       0      4
1     2         england     1       2       1      4
2     3         ireland     1       1       0      2
3     -          sweden     1       1       0      2
4     5         belgium     1       0       2      3
5     6         hungary     1       0       0      1
6     -     netherlands     1       0       0      1
7     -           spain     1       0       0      1
8     9        scotland     0       1       0      1
9    10  czechoslovakia     0       0       2      2
10    -           italy     0       0       2      2
11   12         denmark     0       0       1      1
