    rank                nation  gold  silver  bronze  total
0      1         united states    28      18      19     65
1      2                sweden    19      12      10     41
2      3               finland    11      16      13     40
3      4               england     5       2       4     11
4      5             australia     5       1       3      9
5      6           south korea     4       7      11     22
6      7        chinese taipei     4       1       2      7
7      8                mexico     3       7       7     17
8      9           netherlands     3       2       5     10
9     10               germany     2       5       8     15
10  = 11                canada     2       3       1      6
11  = 11           philippines     2       3       1      6
12    13               belgium     2       3       0      5
13    14             singapore     2       2       0      4
14    15             venezuela     1       3       6     10
15    16                norway     1       3       4      8
16    17              malaysia     1       2       2      5
17    18                france     1       1       4      6
18    19              colombia     1       1       2      4
19    20           puerto rico     1       1       0      2
20    21                 qatar     1       0       1      2
21    22                 japan     0       5       2      7
22    23               denmark     0       1       1      2
23    24  united arab emirates     0       0       3      3
24  = 25                  guam     0       0       1      1
25  = 25                 italy     0       0       1      1
26  = 25                kuwait     0       0       1      1
