    rank                province  population    area   density
0      1       distrito nacional      965040    91.6  10535.37
1      2           santo domingo     2374370  1302.2   1823.35
2      3           san cristóbal      569930  1240.6    459.40
3      4               la romana      245433   652.1    376.37
4      5                santiago      963422  2806.3    343.31
5      6               espaillat      231938   843.0    275.13
6      7                 peravia      184344   785.2    234.77
7      8    san pedro de macorís      290458  1254.3    231.57
8      9        hermanas mirabal       92193   427.4    215.71
9     10                valverde      163030   823.0    198.09
10    11            puerto plata      321597  1805.6    178.11
11    12                  duarte      289574  1649.5    175.55
12    13                 la vega      394205  2292.5    171.95
13    14          monseñor nouel      165224   992.0    166.56
14    15         sánchez ramírez      151392  1185.8    127.67
15    16                  samaná      101494   862.8    117.63
16    17  maría trinidad sánchez      140925  1206.5    116.80
17    18                barahona      187105  1660.2    112.70
18    19           la altagracia      273210  2998.4     91.12
19    20                    azua      214311  2682.5     79.89
20    21                 baoruco       97313  1284.9     75.74
21    22             monte plata      185956  2601.6     71.48
22    23        san josé de ocoa       59544   853.4     69.77
23    24                san juan      232333  3363.8     69.07
24    25              hato mayor       85017  1319.3     64.44
25    26                 dajabón       63955  1021.3     62.62
26    27            monte cristi      109607  1885.8     58.12
27    28      santiago rodríguez       57476  1147.5     50.09
28    29                el seibo       87680  1788.4     49.03
29    30              elías piña       63029  1395.5     45.17
30    31           independencia       52589  2007.4     26.20
31    32              pedernales       31587  2080.5     15.18
