                                 book series                                  author original language   no of installments first published approximate sales
0                          nijntje ( miffy )                              dick bruna             dutch                  119  1955 - present        85 million
1                                fear street                               r l stine           english                  114  1989 - present        80 million
2                     the vampire chronicles                               anne rice           english                   12     1976 - 2003        80 million
3                         pippi longstocking                         astrid lindgren           swedish  3 + 3 picture books     1945 - 2001        80 million
4                                    oss 117                              jean bruce            french                  265     1949 - 1992        75 million
5                       diary of a wimpy kid                             jeff kinney           english                    7  2007 - present        75 million
6                        winnie - the - pooh  a a milne , illustrated by e h shepard           english                    2     1926 - 1928        70 million
7                    magic tree house series                       mary pope osborne           english                   43  1992 - present        70 million
8                       fifty shades of grey                               e l james           english                    3     2011 - 2012        70 million
9                                left behind            tim lahaye , jerry b jenkins           english                   16     1996 - 2007        65 million
10            a series of unfortunate events       lemony snicket aka daniel handler           english                   13     1999 - 2006        65 million
11               little house on the prairie                    laura ingalls wilder           english                   12     1932 - 2006        60 million
12                              jack reacher                               lee child           english                   16  1997 - present        60 million
13                                 discworld                         terry pratchett           english                   39  1983 - present        55 million
14                            where 's wally                         martin handford           english                   13  1987 - present        55 million
15                        millennium trilogy                           stieg larsson           swedish                    3     2005 - 2007        53 million
16  men are from mars , women are from venus                               john gray           english                   15  1992 - present        50 million
17                            the hardy boys     various authors as franklin w dixon           english                  190  1927 - present        50 million
18                         the bobbsey twins       various authors as laura lee hope           english                   72     1904 - 1979        50 million
19                                    tarzan                    edgar rice burroughs           english                   26     1914 - 1995        50 million
