               grand prix          date                   location   pole position         fastest lap  winning driver      constructor  report
0    brazilian grand prix       3 april                jacarepaguá    ayrton senna      gerhard berger     alain prost  mclaren - honda  report
1   san marino grand prix         1 may                      imola    ayrton senna         alain prost    ayrton senna  mclaren - honda  report
2       monaco grand prix        15 may                     monaco    ayrton senna        ayrton senna     alain prost  mclaren - honda  report
3      mexican grand prix        29 may         hermanos rodríguez    ayrton senna         alain prost     alain prost  mclaren - honda  report
4     canadian grand prix       12 june  circuit gilles villeneuve    ayrton senna        ayrton senna    ayrton senna  mclaren - honda  report
5      detroit grand prix       19 june                    detroit    ayrton senna         alain prost    ayrton senna  mclaren - honda  report
6       french grand prix        3 july                paul ricard     alain prost         alain prost     alain prost  mclaren - honda  report
7      british grand prix       10 july                silverstone  gerhard berger       nigel mansell    ayrton senna  mclaren - honda  report
8       german grand prix       24 july             hockenheimring    ayrton senna  alessandro nannini    ayrton senna  mclaren - honda  report
9    hungarian grand prix      7 august                hungaroring    ayrton senna         alain prost    ayrton senna  mclaren - honda  report
10     belgian grand prix     28 august        spa - francorchamps    ayrton senna      gerhard berger    ayrton senna  mclaren - honda  report
11     italian grand prix  11 september                      monza    ayrton senna    michele alboreto  gerhard berger          ferrari  report
12  portuguese grand prix  25 september                    estoril     alain prost      gerhard berger     alain prost  mclaren - honda  report
13     spanish grand prix     2 october                      jerez    ayrton senna         alain prost     alain prost  mclaren - honda  report
14    japanese grand prix    30 october                     suzuka    ayrton senna        ayrton senna    ayrton senna  mclaren - honda  report
15  australian grand prix   13 november                   adelaide    ayrton senna         alain prost     alain prost  mclaren - honda  report
