    year  class    team  points  wins
0   1949  350cc  norton       0     0
1   1949  500cc  norton       0     0
2   1950  350cc  norton       0     0
3   1950  500cc  norton       0     0
4   1951  350cc  norton      15     0
5   1951  500cc  norton       3     0
6   1952  350cc     ajs      12     0
7   1952  500cc     ajs      14     1
8   1953  350cc  norton      12     0
9   1953  500cc  norton      13     0
10  1954  350cc  norton      14     0
11  1954  500cc  norton       8     0
12  1955  350cc  norton       0     0
13  1955  500cc  norton       3     0
14  1956  350cc  norton       3     0
15  1956  500cc  norton       5     0
16  1957  350cc  norton       3     0
17  1957  500cc  norton       9     0
18  1958  350cc  norton       0     0
19  1959  500cc  norton       0     0
20  1960  350cc  norton       0     0
21  1960  500cc  norton       0     0
