              name       career  matches  innings  not out  runs scored  high score  50s  100s  average
0    ricky ponting  1995 - 2012      374      364       39        13589         164   82    29    41.81
1   adam gilchrist  1996 - 2008      286      278       11         9595         172   55    16    35.93
2       mark waugh  1988 - 2002      244      236       20         8500         173   50    18    39.35
3      steve waugh  1986 - 2002      325      288       58         7569         120   45     3    32.90
4   michael clarke       2003 -      227      207       42         7375         130   54     7    44.69
5    michael bevan  1994 - 2004      232      196       67         6912         108   46     6    53.58
6     allan border  1979 - 1994      273      252       39         6524         127   39     3    30.62
7   matthew hayden  1993 - 2008      160      154       15         6131         181   36    10    44.10
8       dean jones  1984 - 1994      164      161       25         6068         145   46     7    44.61
9       david boon  1984 - 1995      181      177       16         5964         122   37     5    37.04
10  michael hussey  2004 - 2012      185      157       44         5442         109   39     3    48.15
11   damien martyn  1992 - 2006      208      182       51         5346         144   37     5    40.80
12  andrew symonds  1998 - 2009      198      161       33         5088         156   30     6    39.75
13    shane watson       2002 -      160      140       24         4796         185   29     7    41.34
14     geoff marsh  1986 - 1992      117      115        6         4357         126   22     9    39.97
15     mark taylor  1989 - 1997      113      110        1         3514         105   28     1    32.23
16  darren lehmann  1996 - 2005      117      101       22         3078         119   17     4    38.96
