    year                    entrant class              chassis                          engine  rank points
0   1999            champion racing   lmp  porsche 911 gt1 evo     porsche 3.2l turbo flat - 6  25th     47
1   2000   audi sport north america   lmp              audi r8              audi 3.6l turbo v8   1st    270
2   2000   audi sport north america   lmp             audi r8r              audi 3.6l turbo v8   1st    270
3   2004  audi sport uk team veloqx  lmp1              audi r8              audi 3.6l turbo v8   7th     26
4   2005        adt champion racing  lmp1              audi r8              audi 3.6l turbo v8  10th     22
5   2006   audi sport north america  lmp1         audi r10 tdi  audi 5.5l turbo v12 ( diesel )   1st    204
6   2006   audi sport north america  lmp1              audi r8              audi 3.6l turbo v8   1st    204
7   2007   audi sport north america  lmp1         audi r10 tdi  audi 5.5l turbo v12 ( diesel )   1st    246
8   2008   audi sport north america  lmp1         audi r10 tdi  audi 5.5l turbo v12 ( diesel )   8th     60
9   2009      audi sport team joest  lmp1         audi r15 tdi  audi 5.5l turbo v10 ( diesel )  10th     30
10  2010      audi sport team joest  lmp1    audi r15 tdi plus  audi 5.5l turbo v10 ( diesel )    nc      -
11  2011      audi sport team joest  lmp1    audi r15 tdi plus  audi 5.5l turbo v10 ( diesel )    nc      -
12  2011      audi sport team joest  lmp1         audi r18 tdi   audi 3.7l turbo v6 ( diesel )    nc      -
