   position              team  played  wins  draws  losses  scored  conceded  points
0         1          libertad       9     6      3       0      13         3      21
1         2     cerro porteño       9     5      3       1      20         8      18
2         3           olimpia       9     4      4       1      16        11      16
3         4    sol de américa       9     3      4       2      12         7      13
4         5           tacuary       9     4      1       4      15        16      13
5         6           guaraní       9     3      3       3      18        20      12
6         7  sportivo luqueño       9     3      2       4      14        12      11
7         8    sport colombia       9     2      2       5      14        20       8
8         9     12 de octubre       9     1      4       4       8        18       7
9        10       san lorenzo       9     1      0       8      10        25       3
