     res      record           opponent                         method                                            event  round   time                                   location
0    win  15 - 7 (1)       james marino  submission (rear naked choke)                         tabernacle fight party 2      1   3:26          atlanta , georgia , united states
1   loss  14 - 7 (1)    ludwing salazar               decision (split)  panama fight league : ultimate combat challenge      3   5:00                       panama city , panama
2   loss  14 - 6 (1)        adrian pang               decision (split)                    cage fighting championship 17      3   5:00        gold coast , queensland , australia
3    win  14 - 5 (1)       wu cheng jei                   tko (elbows)                                 martial combat 4      1   4:16                        sentosa , singapore
4   loss  13 - 5 (1)  zach micklewright               decision (split)                                           wec 45      3   5:00         las vegas , nevada , united states
5   loss  13 - 4 (1)   anthony njokuani                  tko (punches)                                           wec 43      2   1:42        san antonio , texas , united states
6    win  13 - 3 (1)    jason nicholson                     ko (punch)                         icf : power of champions      1   3:59  beaufort , south carolina , united states
7   loss  12 - 3 (1)          nick diaz                  tko (punches)                     elitexc : return of the king      3   3:59          honolulu , hawaii , united states
8    win  12 - 2 (1)     bobby mcmaster  submission (guillotine choke)                                            shoxc      1   4:59    santa ynez , california , united states
9    win  11 - 2 (1)         lee gibson           decision (unanimous)                                            shoxc      3   5:00    santa ynez , california , united states
10   win  10 - 2 (1)      jeff williams                   ko (punches)                         champions quest : rumble      1  n / a         savannah , georgia , united states
11  loss   9 - 2 (1)         jim miller            submission (armbar)         reality fighting 13: battle at the beach      2   3:35      wildwood , new jersey , united states
12   win   9 - 1 (1)      jeff myrtniak    submission (triangle choke)                                  shido world mma      5   1:57         chicago , illinois , united states
13   win   8 - 1 (1)   raphael assunção           decision (unanimous)                                    shido usa mma      3   5:00          atlanta , georgia , united states
14   win   7 - 1 (1)        mike smiley                      ko (knee)                                    shido usa mma      1   2:35          atlanta , georgia , united states
15  loss   6 - 1 (1)    kurt pellegrino           decision (unanimous)         reality fighting 13: battle at the beach      5   5:00      wildwood , new jersey , united states
16   win   6 - 0 (1)      giovanni lemm    submission (triangle choke)                           combat sport challenge      1   3:15                   virginia , united states
17    nc   5 - 0 (1)       chris meyers                     no contest      reality superfighting 5: new blood conflict      3   4:00          augusta , georgia , united states
18   win       5 - 0      joe cervantes            submission (armbar)         reality superfighting 4: circle of truth      1   1:28         savannah , georgia , united states
19   win       4 - 0        andy carver           decision (unanimous)                               kick wrestling mma      3   4:00            miami , florida , united states
20   win       3 - 0      jerry hackney            submission (armbar)     reality superfighting 2: attack at the track      1   1:14    chester , west virginia , united states
21   win       2 - 0     cody atchinson           submission (kneebar)           world vale tudo federation : battlejax      1   0:29     jacksonville , florida , united states
22   win       1 - 0       cam mchargue    submission (triangle choke)        reality superfighting : circle of truth 1      2   3:33         savannah , georgia , united states
