       date of issue                                              theme                                         design                               illustration               paper type      first day cover cancellation
0     5 january 2008                                    year of the rat                       tandem design associates                                harvey chan  tullis russell coatings                    vancouver , bc
1    15 january 2008                                        celebration                     michael zavacky , mcmillan                 michael zavacky , mcmillan            lowe - martin                     zeballos , bc
2       3 march 2008                                peonies (the elgin)                             isabelle toussaint                         isabelle toussaint         tullis - russell                     oakville , on
3       3 march 2008                             peonies (coral n gold)                             isabelle toussaint                         isabelle toussaint         tullis - russell                     oakville , on
4       7 march 2008                              university of alberta                  metaform communication design  creative services , university of alberta         tullis - russell                edmonton , alberta
5       7 march 2008                     university of british columbia                  metaform communication design            martin dee , ubc public affairs         tullis - russell      vancouver , british columbia
6       3 april 2008             iihf world championships , quebec city                    lionel gadoury , dave hurds                            ho che anderson  tullis russell coatings                  québec city , qc
7       3 april 2008                 iihf world championships , halifax                    lionel gadoury , dave hurds                            ho che anderson  tullis russell coatings                      halifax , ns
8      21 april 2008                                         guide dogs                 designwerke inc , andrew perro                       j christopher lawson  tullis russell coatings                  ottawa , ontario
9         2 may 2008                    oil and gas : calgary , alberta                                      tim nokes                              neil petrunia  tullis russell coatings                 calgary , alberta
10        2 may 2008                          oil and gas : oil springs                                      tim nokes                              neil petrunia  tullis russell coatings             oil springs , ontario
11       16 may 2008                            founding of quebec city                                         fugazi                 francis back , jorge peral  tullis russell coatings                  québec city , qc
12       21 may 2008                                       yousuf karsh                                hélène lheureux               photos from the karsh estate  tullis russell coatings                  ottawa , ontario
13       21 may 2008                                     audrey hepburn                                hélène lheureux               photos from the karsh estate  tullis russell coatings                  ottawa , ontario
14       21 may 2008                                  winston churchill                                hélène lheureux               photos from the karsh estate  tullis russell coatings                  ottawa , ontario
15       4 june 2008            royal canadian mint , 100th anniversary                                  stéphane huot                             normand robert  tullis russell coatings                  ottawa , ontario
16       4 june 2008                        canadian nurses association               gottschalk and ash international                    laura arsie photography  tullis russell coatings                  ottawa , ontario
17      20 june 2008                  anne of green gables (anne stamp)                      dennis page , oliver hill             christopher kovacs / ben stahl  tullis russell coatings  cavendish , prince edward island
18      20 june 2008                anne of green gables (gables stamp)                      dennis page , oliver hill             christopher kovacs / ben stahl  tullis russell coatings    avonlea , prince edward island
19      30 june 2008              canadians in hollywood : raymond burr  josh belisle , kosta tsetsekas , geoff kehrig               neal armstrong , adam rogers                  spicers  montreal , qc and vancouver , bc
20      30 june 2008            canadians in hollywood : marie dressler  josh belisle , kosta tsetsekas , geoff kehrig               neal armstrong , adam rogers                  spicers  montreal , qc and vancouver , bc
21      30 june 2008          canadians in hollywood : chief dan george  josh belisle , kosta tsetsekas , geoff kehrig               neal armstrong , adam rogers                  spicers  montreal , qc and vancouver , bc
22      30 june 2008             canadians in hollywood : norma shearer  josh belisle , kosta tsetsekas , geoff kehrig               neal armstrong , adam rogers                  spicers  montreal , qc and vancouver , bc
23      18 july 2008                         games of the xxix olympiad                                  q30design inc                            laurie lafrance           tullis russell                       golden , bc
24      25 july 2008                   lifesaving society : 1908 - 2008                                 derwin goodall              lorne bridgman , getty images           tullis russell                      toronto , on
25     1 august 2008               150th anniversary , british columbia                             subplot design inc             clinton hussey and adam rogers           tullis russell                 fort langley , bc
26  8 september 2008  sam mclaughlin , founder of general motors canada                      tilt telmet , marko barac  bill mckague , thomas bouckley collection           tullis russell                       oshawa , on
27    1 october 2008           endangered species , taylors checkerspot                        sputnik design partners                                doug martin  tullis russell coatings                    moose jaw , sk
28    1 october 2008                  endangered species , roseate tern                        sputnik design partners                                doug martin  tullis russell coatings                    moose jaw , sk
29    1 october 2008        endangered species , peculiar burrowing owl                        sputnik design partners                                doug martin  tullis russell coatings                    moose jaw , sk
30    1 october 2008          endangered species , prothonotary warbler                        sputnik design partners                                doug martin  tullis russell coatings                    moose jaw , sk
31    6 october 2008                                      mental health                                    paul haslip                     photo by nigel dickson  tullis russell coatings                       ottawa , on
32   15 october 2008                      xii summit de la francophonie                                     ian drolet              photo by marc - andré grenier  tullis russell coatings                       québec , qc
33   3 november 2008                           christmas : the nativity                                   joseph gault                  antonio caruso (sculptor)  tullis russell coatings       sainte anne de beaupre , qc
34   3 november 2008                  christmas : winter fun (domestic)                                    susan scott                                susan scott  tullis russell coatings              snowflake , manitoba
35   3 november 2008                       christmas : winter fun (usa)                                    susan scott                                susan scott  tullis russell coatings              snowflake , manitoba
36   3 november 2008             christmas : winter fun (international)                                    susan scott                                susan scott  tullis russell coatings              snowflake , manitoba
