                tournament                    2006                    2007                    2008                    2009                    2010                    2011                    2012
0   grand slam tournaments  grand slam tournaments  grand slam tournaments  grand slam tournaments  grand slam tournaments  grand slam tournaments  grand slam tournaments  grand slam tournaments
1          australian open                       a                      1r                      2r                      2r                      2r                      1r                       a
2              french open                       a                      q2                      1r                      q1                      1r                      3r                      2r
3                wimbledon                      1r                      2r                      1r                       a                      1r                      1r                      q1
4                  us open                      1r                      2r                      1r                      1r                      1r                      1r                       a
5               win - loss                   0 - 2                   2 - 3                   1 - 4                   1 - 2                   1 - 4                   2 - 4                   1 - 1
6       atp masters series      atp masters series      atp masters series      atp masters series      atp masters series      atp masters series      atp masters series      atp masters series
7     indian wells masters                       a                       a                      1r                      2r                      1r                      2r                       a
8            miami masters                       a                       a                      2r                      q2                      2r                      1r                       a
9      monte carlo masters                       a                       a                       a                       a                      3r                      q1                      q2
10            rome masters                       a                       a                       a                       a                      1r                       a                       a
11          madrid masters                       a                       a                       a                       a                       a                       a                      q1
12          canada masters                       a                       a                       a                      q1                      1r                       a                      1r
13      cincinnati masters                       a                       a                       a                       a                      2r                       a                       a
14        shanghai masters      not masters series      not masters series      not masters series                       a                      1r                       a                      1r
15           paris masters                       a                      q1                       a                      q1                      1r                       a                       a
16         hamburg masters                       a                      q1                      1r      not masters series      not masters series      not masters series      not masters series
17              win - loss                   0 - 0                   0 - 0                   1 - 3                   1 - 1                   4 - 8                   1 - 2                   0 - 2
18       career statistics       career statistics       career statistics       career statistics       career statistics       career statistics       career statistics       career statistics
19         titles - finals                   0 - 0                   0 - 0                   0 - 0                   0 - 0                   0 - 1                   0 - 1                   0 - 0
20        year end ranking                     152                      57                     131                      74                      58                     100                     138
