    year            winner            score           opponent                                            venue
0   1984              utep          62 - 55         new mexico        special events center ( el paso , texas )
1   1985   san diego state          87 - 81               utep        special events center ( el paso , texas )
2   1986              utep          65 - 64            wyoming         arena - auditorium ( laramie , wyoming )
3   1987           wyoming          64 - 62         new mexico             the pit ( albuquerque , new mexico )
4   1988           wyoming          79 - 75               utep                 marriott center ( provo , utah )
5   1989              utep          73 - 60     colorado state  jon m huntsman center ( salt lake city , utah )
6   1990              utep          75 - 58            hawai i        special events center ( el paso , texas )
7   1991               byu          51 - 49               utah         arena - auditorium ( laramie , wyoming )
8   1992               byu          73 - 71               utep           moby arena ( fort collins , colorado )
9   1993        new mexico          76 - 65               utep           delta center ( salt lake city , utah )
10  1994           hawai i          73 - 66                byu           delta center ( salt lake city , utah )
11  1995              utah          67 - 54             hawaii             the pit ( albuquerque , new mexico )
12  1996        new mexico          64 - 60               utah             the pit ( albuquerque , new mexico )
13  1997              utah          89 - 68                tcu       thomas & mack center ( paradise , nevada )
14  1998              unlv          56 - 51         new mexico       thomas & mack center ( paradise , nevada )
15  1999              utah          60 - 45         new mexico       thomas & mack center ( paradise , nevada )
16  2000      fresno state          75 - 72              tulsa            selland arena ( fresno , california )
17  2001           hawai i          78 - 72              tulsa             reynolds center ( tulsa , oklahoma )
18  2002           hawai i          73 - 59              tulsa             reynolds center ( tulsa , oklahoma )
19  2003             tulsa          75 - 64             nevada             reynolds center ( tulsa , oklahoma )
20  2004            nevada          66 - 60               utep         save mart center ( fresno , california )
21  2005              utep          91 - 78        boise state           lawlor events center ( reno , nevada )
22  2006            nevada          70 - 63         utah state           lawlor events center ( reno , nevada )
23  2007  new mexico state          72 - 70         utah state  pan american center ( las cruces , new mexico )
24  2008       boise state  107 - 102 (3ot)   new mexico state  pan american center ( las cruces , new mexico )
25  2009        utah state          72 - 62             nevada           lawlor events center ( reno , nevada )
26  2010  new mexico state          69 - 63         utah state           lawlor events center ( reno , nevada )
27  2011        utah state          77 - 69        boise state              orleans arena ( paradise , nevada )
28  2012  new mexico state          82 - 57     louisiana tech              orleans arena ( paradise , nevada )
29  2013  new mexico state          64 - 55  texas - arlington              orleans arena ( paradise , nevada )
