    pick             nfl team           player        position         college
0     11  los angeles raiders    anthony smith   defensive end         arizona
1     38  los angeles raiders    aaron wallace   defensive end       texas a&m
2     96  los angeles raiders       torin dorn      cornerback  north carolina
3    124  los angeles raiders     stan smagala  defensive back      notre dame
4    150  los angeles raiders    marcus wilson    running back        virginia
5    174  los angeles raiders      garry lewis      cornerback    alcorn state
6    198  los angeles raiders  arthur jimerson   defensive end   norfolk state
7    231  los angeles raiders       leon perry    running back        oklahoma
8    304  los angeles raiders        ron lewis   wide receiver   jackson state
9    305  los angeles raiders      myron jones    running back    fresno state
10   332  los angeles raiders  demetrius davis       tight end          nevada
