    year                        album        vocals         bass                          drums             label
0   1982  how could hell be any worse  greg graffin  jay bentley  jay ziskrout / pete finestone           epitaph
1   1983             into the unknown  greg graffin  paul dedona                   davy goldman           epitaph
2   1988                       suffer  greg graffin  jay bentley                 pete finestone           epitaph
3   1989                   no control  greg graffin  jay bentley                 pete finestone           epitaph
4   1990            against the grain  greg graffin  jay bentley                 pete finestone           epitaph
5   1992                    generator  greg graffin  jay bentley                  bobby schayer           epitaph
6   1993              recipe for hate  greg graffin  jay bentley                  bobby schayer  epitaph atlantic
7   1994        stranger than fiction  greg graffin  jay bentley                  bobby schayer          atlantic
8   1996                the gray race  greg graffin  jay bentley                  bobby schayer          atlantic
9   1998                 no substance  greg graffin  jay bentley                  bobby schayer          atlantic
10  2000              the new america  greg graffin  jay bentley                  bobby schayer          atlantic
11  2002        the process of belief  greg graffin  jay bentley               brooks wackerman           epitaph
12  2004     the empire strikes first  greg graffin  jay bentley               brooks wackerman           epitaph
13  2007             new maps of hell  greg graffin  jay bentley               brooks wackerman           epitaph
14  2010           the dissent of man  greg graffin  jay bentley               brooks wackerman           epitaph
15  2013                   true north  greg graffin  jay bentley               brooks wackerman           epitaph
16  2013              christmas songs  greg graffin  jay bentley               brooks wackerman           epitaph
