        tournament     surface         week                                                 winner and score            finalist                      semifinalists
0     indian wells        hard     march 11                              michael chang 7 - 5 , 6 - 1 , 6 - 1       paul haarhuis      goran ivanišević marcelo ríos
1      key biscane        hard     march 18                                           andre agassi 3 - 0 ret    goran ivanišević        arnaud boetsch pete sampras
2      monte carlo        clay     april 22              thomas muster 6 - 3 , 5 - 7 , 4 - 6 , 6 - 3 , 6 - 2        albert costa        cédric pioline marcelo ríos
3          hamburg        clay        may 6                  roberto carretero 2 - 6 , 6 - 4 , 6 - 4 , 6 - 4       àlex corretja    yevgeny kafelnikov marcelo ríos
4             rome        clay       may 13                      thomas muster 6 - 2 , 6 - 4 , 3 - 6 , 6 - 3    richard krajicek        albert costa wayne ferreira
5       cincinnati        hard     august 5                                   andre agassi 7 - 6 (4) , 6 - 4       michael chang       thomas enqvist thomas muster
6          toronto        hard    august 19                                     wayne ferreira 6 - 2 , 6 - 4     todd woodbridge           marcelo ríos todd martin
7        stuttgart  carpet (i)   october 21               boris becker 3 - 6 , 6 - 3 , 3 - 6 , 6 - 3 , 6 - 4        pete sampras        jan siemerink michael chang
8            paris  carpet (i)   october 28                             thomas enqvist 6 - 2 , 6 - 4 , 7 - 5  yevgeny kafelnikov       magnus gustafsson petr korda
9  hanover ( awc )  carpet (i)  november 18  pete sampras 3 - 6 , 7 - 6 (5) , 7 - 6 (4) , 6 - 7 (11) , 6 - 4        boris becker  richard krajicek goran ivanišević
