                     candidate    office running for                              running with (in team)     won or lost                           votes given
0                  carol marsh      mayor of hoboken  inés garcía - keim , anthony soares , brian urbano  lost in runoff  may 10: 2976 , june 14 runoff : 4239
1             frank pupie raia      mayor of hoboken     theresa burns , anthony mussara , ron rosenberg            lost                                  2004
2                michael russo      mayor of hoboken      genevy dimitrion , manny ortega , brian keller            lost                                  1259
3                 evelyn smith      mayor of hoboken    carrie gilliard , diane nieves , elizabeth falco            lost                                   289
4               ruben ramos jr  hoboken city council   david roberts , theresa labruno , peter cammarano             won  may 10: 3527 , june 14 runoff : 5344
5              theresa labruno  hoboken city council    david roberts , ruben ramos jr , peter cammarano             won  may 10: 3182 , june 14 runoff : 5067
6              peter cammarano  hoboken city council    david roberts , ruben ramos jr , theresa labruno             won  may 10: 2785 , june 14 runoff : 4982
7           inés garcía - keim  hoboken city council         carol marsh , anthony soares , brian urbano  lost in runoff  may 10: 2492 , june 14 runoff : 3949
8               anthony soares  hoboken city council     carol marsh , inés garcía - keim , brian urbano  lost in runoff  may 10: 2838 , june 14 runoff : 4074
9                 brian urbano  hoboken city council   carol marsh , inés garcía - keim , anthony soares  lost in runoff  may 10: 2287 , june 14 runoff : 3863
10             anthony mussara  hoboken city council                                    frank pupie raia            lost                                  1628
11            genevy dimitrion  hoboken city council         michael russo , manny ortega , brian keller            lost                                   640
12                manny ortega  hoboken city council     michael russo , genevy dimitrion , brian keller            lost                                   760
13                brian keller  hoboken city council     michael russo , genevy dimitrion , manny ortega            lost                                   666
14             carrie gilliard  hoboken city council       evelyn smith , diane nieves , elizabeth falco            lost                                   301
15                diane nieves  hoboken city council    evelyn smith , carrie gilliard , elizabeth falco            lost                                   320
16             elizabeth falco  hoboken city council       evelyn smith , carrie gilliard , diane nieves            lost                                   516
17  andrew amato (independent)  hoboken city council                                                none            lost                                   566
